Face_to_Face,Prerequisite_1,Course,Website,Prerequisite_3_grade_3,Course_Lang,Distance,Prerequisite_2,Blended,Prerequisite_1_grade_1,Career_Outcomes/path,Part_Time,Faculty,Local_Fees,Remarks,City,Availability,Full_Time,University,Online,Level_Code,Description,Int_Fees,Currency_Time,Country,Prerequisite_3,Prerequisite_2_grade_2,Currency,Offline,Duration_Time,Duration
Yes,ATAR,Bachelor of Interior Design (Commercial),https://www.billyblue.edu.au/courses/interiors/bachelor-of-interior-design-commercial?id=84,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Interior Designer, 3D Computer Modelling Consultant, Design Consultant, Innovative Workplace Designer, Virtual Environment Designer",Yes,College of Design,,,Brisbane,A,Yes,Billy Blue College,Yes,BA,"If you’re reading this in a café or pub, look around. Somebody – or some team – put together the furnishings you’re currently kicking back in. Giving a commercial focus to your interior design means you’ll be looking at things link branding, lighting, sustainability and materiality. You’ll also be across scheduling and documentation – which are big parts of setting up shops and workplaces and VR spaces and suchlike. At Billy Blue, we also underscore the importance of new technologies and environmentally sustainable practices for the future of this field.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Interior Design (Commercial),https://www.billyblue.edu.au/courses/interiors/bachelor-of-interior-design-commercial?id=84,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Interior Designer, 3D Computer Modelling Consultant, Design Consultant, Innovative Workplace Designer, Virtual Environment Designer",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,BA,"If you’re reading this in a café or pub, look around. Somebody – or some team – put together the furnishings you’re currently kicking back in. Giving a commercial focus to your interior design means you’ll be looking at things link branding, lighting, sustainability and materiality. You’ll also be across scheduling and documentation – which are big parts of setting up shops and workplaces and VR spaces and suchlike. At Billy Blue, we also underscore the importance of new technologies and environmentally sustainable practices for the future of this field.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Interior Design (Residential),https://www.billyblue.edu.au/courses/interiors/bachelor-of-interior-design-residential?id=85,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Interior Designer, Residential Design Consultant, Homelessness Solutions Strategist, 3D Computer Modelling Consultant, Innovative Home Technology Consultant",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,BA,"Let’s get something clear: residential interior design isn’t just showing off the bargains you found in a tasteful little op shop in the middle of nowhere or showcasing the latest in Art Deco-inspired furnishings. It’s a language that speaks to the notion of a home as both a physical and mental place. In this course, you’ll explore and respond to contemporary issues in interior design thinking as it relates to the residential side of the street – our aging population, homelessness, evolving gender roles and definitions of family. On the practical side, you’ll be working with documentation, scheduling, professional design practice plus new and/or environmentally sustainable materials.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Interior Design (Residential),https://www.billyblue.edu.au/courses/interiors/bachelor-of-interior-design-residential?id=85,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Interior Designer, Residential Design Consultant, Homelessness Solutions Strategist, 3D Computer Modelling Consultant, Innovative Home Technology Consultant",Yes,College of Design,,,Brisbane,A,Yes,Billy Blue College,Yes,BA,"Let’s get something clear: residential interior design isn’t just showing off the bargains you found in a tasteful little op shop in the middle of nowhere or showcasing the latest in Art Deco-inspired furnishings. It’s a language that speaks to the notion of a home as both a physical and mental place. In this course, you’ll explore and respond to contemporary issues in interior design thinking as it relates to the residential side of the street – our aging population, homelessness, evolving gender roles and definitions of family. On the practical side, you’ll be working with documentation, scheduling, professional design practice plus new and/or environmentally sustainable materials.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Interior Design (Residential),https://www.billyblue.edu.au/courses/interiors/bachelor-of-interior-design-residential?id=85,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Interior Designer, Residential Design Consultant, Homelessness Solutions Strategist, 3D Computer Modelling Consultant, Innovative Home Technology Consultant",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,BA,"Let’s get something clear: residential interior design isn’t just showing off the bargains you found in a tasteful little op shop in the middle of nowhere or showcasing the latest in Art Deco-inspired furnishings. It’s a language that speaks to the notion of a home as both a physical and mental place. In this course, you’ll explore and respond to contemporary issues in interior design thinking as it relates to the residential side of the street – our aging population, homelessness, evolving gender roles and definitions of family. On the practical side, you’ll be working with documentation, scheduling, professional design practice plus new and/or environmentally sustainable materials.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor Of Software Engineering (Artificial Intelligence),https://www.billyblue.edu.au/courses/creative-technology-courses/bachelor-of-software-engineering-artifical-intelligence,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Software Engineer, Software Developer, Data Scientist, Machine Learning Engineer, Computer Vision Engineer",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,BA,"Funny story: this blurb was written by a network of AI spiders crawling the web for the best way to convince you to do a Bachelor of Software Engineering. Nah, not really. But one day that could be a reality. You could build a system that generates course guide information, putting the human writer out of work and – WAIT A MINUTE. Ahem. What you’ll actually be doing, you monster, is a combination of technical stuff like computer vision, natural language processing, speech recognition and machine learning, as well as the more ‘human’ topics including ideation, design thinking, project management and interpersonal communication.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor Of Software Engineering (Artificial Intelligence),https://www.billyblue.edu.au/courses/creative-technology-courses/bachelor-of-software-engineering-artifical-intelligence,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Software Engineer, Software Developer, Data Scientist, Machine Learning Engineer, Computer Vision Engineer",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,BA,"Funny story: this blurb was written by a network of AI spiders crawling the web for the best way to convince you to do a Bachelor of Software Engineering. Nah, not really. But one day that could be a reality. You could build a system that generates course guide information, putting the human writer out of work and – WAIT A MINUTE. Ahem. What you’ll actually be doing, you monster, is a combination of technical stuff like computer vision, natural language processing, speech recognition and machine learning, as well as the more ‘human’ topics including ideation, design thinking, project management and interpersonal communication.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor Of Software Engineering (Game Programming),https://www.billyblue.edu.au/courses/creative-technology-courses/bachelor-of-software-engineering-game-programming,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Game Programmer, Gameplay Programmer, Generalist C++ Programmer, Software Engineer",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,BA,"Learn by doing in this highly hands-on course that’s like an unskippable tutorial that you begrudgingly admit made you better than you otherwise would’ve been, because there are actually some quite tricky parts if you’re honest. You’ll code, you’ll craft, you’ll be able to glide from PlayStation to Switch without ever pressing the wrong button for ‘cancel’. You’re right, we can’t promise that final bit. But you will graduate with an extensive portfolio that will feature your experiences working with Unity and Unreal, learning C++ and other coding languages, and collaborating with fellow programmers and game artists to create a commercially viable game.Oh, and thanks to the partnership with Sony Computer Entertainment Europe (SCEE), you will develop games for PlayStation® platform through the PlayStation® First Academic Development Program. So make sure you know your O from your B, if you get what we’re saying.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor Of Software Engineering (Game Programming),https://www.billyblue.edu.au/courses/creative-technology-courses/bachelor-of-software-engineering-game-programming,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Game Programmer, Gameplay Programmer, Generalist C++ Programmer, Software Engineer",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,BA,"Learn by doing in this highly hands-on course that’s like an unskippable tutorial that you begrudgingly admit made you better than you otherwise would’ve been, because there are actually some quite tricky parts if you’re honest. You’ll code, you’ll craft, you’ll be able to glide from PlayStation to Switch without ever pressing the wrong button for ‘cancel’. You’re right, we can’t promise that final bit. But you will graduate with an extensive portfolio that will feature your experiences working with Unity and Unreal, learning C++ and other coding languages, and collaborating with fellow programmers and game artists to create a commercially viable game.Oh, and thanks to the partnership with Sony Computer Entertainment Europe (SCEE), you will develop games for PlayStation® platform through the PlayStation® First Academic Development Program. So make sure you know your O from your B, if you get what we’re saying.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Branded Fashion Design,https://www.billyblue.edu.au/courses/branded-fashion-design-courses/bachelor-of-branded-fashion-design?id=74,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Branded Fashion Designer, Fashion Buyer, Merchandise Planner, Production Manager, Start-up Fashion Designer",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,BA,"More than merely putting flamingoes onto Hawaiian shirts, the Bachelor of Branded Fashion Design is an all-inclusive qualification that teaches you the business of what we wear as well as actually making the outfits. That means you’ll be called upon to create inspiring designs, develop and produce them for market… and deal with all the other people you’ll need to take those pink birds in your head and make them a gaudy reality. Pattern-makers, garment constructors and the catwalk-dominating fashionistas we count as friends and fashion industry partners. If you’d like to create your own label, learn the role of strategy in fashion design and / or use clothes as a force for good in a world of sweatshops, this is a serious and exciting course. Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Branded Fashion Design,https://www.billyblue.edu.au/courses/branded-fashion-design-courses/bachelor-of-branded-fashion-design?id=74,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Branded Fashion Designer, Fashion Buyer, Merchandise Planner, Production Manager, Start-up Fashion Designer",Yes,College of Design,,,Brisbane,A,Yes,Billy Blue College,Yes,BA,"More than merely putting flamingoes onto Hawaiian shirts, the Bachelor of Branded Fashion Design is an all-inclusive qualification that teaches you the business of what we wear as well as actually making the outfits. That means you’ll be called upon to create inspiring designs, develop and produce them for market… and deal with all the other people you’ll need to take those pink birds in your head and make them a gaudy reality. Pattern-makers, garment constructors and the catwalk-dominating fashionistas we count as friends and fashion industry partners. If you’d like to create your own label, learn the role of strategy in fashion design and / or use clothes as a force for good in a world of sweatshops, this is a serious and exciting course. Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Branded Fashion Design,https://www.billyblue.edu.au/courses/branded-fashion-design-courses/bachelor-of-branded-fashion-design?id=74,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Branded Fashion Designer, Fashion Buyer, Merchandise Planner, Production Manager, Start-up Fashion Designer",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,BA,"More than merely putting flamingoes onto Hawaiian shirts, the Bachelor of Branded Fashion Design is an all-inclusive qualification that teaches you the business of what we wear as well as actually making the outfits. That means you’ll be called upon to create inspiring designs, develop and produce them for market… and deal with all the other people you’ll need to take those pink birds in your head and make them a gaudy reality. Pattern-makers, garment constructors and the catwalk-dominating fashionistas we count as friends and fashion industry partners. If you’d like to create your own label, learn the role of strategy in fashion design and / or use clothes as a force for good in a world of sweatshops, this is a serious and exciting course. Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Business and Bachelor of Design,https://www.billyblue.edu.au/courses/double-degrees/bachelor-of-business-with-bachelor-of-design,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Brand Specialist, Entrepreneur, Marketing Manager, Partnership Manager, Buyer",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,BA,"Get the best of both worlds and combine a highly regarded business degree and a cutting-edge degree in design in your preferred field. Hybrid roles are the way of the future and graduates with this double degree are in demand now.Pursue an exciting and flexible career path. The Bachelor of Business with Bachelor of Design gives you the knowledge and confidence to launch your own creative business or go after leading roles in your chosen industry. You can pair the Bachelor of Business with the Bachelor of Communication Design, Branded Fashion, Interior Design (Commercial or Residential), Digital Media (Interaction Design), Digital Media (3D Design & Animation), or Digital Media (Film & Video Design).Please note the Cricos code related to your dual degree: Bachelor of Business / Bachelor of Interior Design (Commercial) CRICOS Code: 090260A Bachelor of Business / Bachelor of Interior Design (Residential) CRICOS Code 090262K Bachelor of Business / Bachelor of Digital Media (3D Design and Animation) CRICOS Code: 090256G Bachelor of Business / Bachelor of Digital Media (Interaction Design) CRICOS Code: 090258F Bachelor of Business / Bachelor of Digital Media (Film and Video Design) CRICOS Code: 090259E Bachelor of Business / Bachelor of Communication Design CRICOS Code: 090257G Bachelor of Business / Bachelor of Branded Fashion Design CRICOS Code: 090255J.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,3.0
Yes,ATAR,Bachelor of Business and Bachelor of Design,https://www.billyblue.edu.au/courses/double-degrees/bachelor-of-business-with-bachelor-of-design,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Brand Specialist, Entrepreneur, Marketing Manager, Partnership Manager, Buyer",Yes,College of Design,,,Brisbane,A,Yes,Billy Blue College,Yes,BA,"Get the best of both worlds and combine a highly regarded business degree and a cutting-edge degree in design in your preferred field. Hybrid roles are the way of the future and graduates with this double degree are in demand now.Pursue an exciting and flexible career path. The Bachelor of Business with Bachelor of Design gives you the knowledge and confidence to launch your own creative business or go after leading roles in your chosen industry. You can pair the Bachelor of Business with the Bachelor of Communication Design, Branded Fashion, Interior Design (Commercial or Residential), Digital Media (Interaction Design), Digital Media (3D Design & Animation), or Digital Media (Film & Video Design).Please note the Cricos code related to your dual degree: Bachelor of Business / Bachelor of Interior Design (Commercial) CRICOS Code: 090260A Bachelor of Business / Bachelor of Interior Design (Residential) CRICOS Code 090262K Bachelor of Business / Bachelor of Digital Media (3D Design and Animation) CRICOS Code: 090256G Bachelor of Business / Bachelor of Digital Media (Interaction Design) CRICOS Code: 090258F Bachelor of Business / Bachelor of Digital Media (Film and Video Design) CRICOS Code: 090259E Bachelor of Business / Bachelor of Communication Design CRICOS Code: 090257G Bachelor of Business / Bachelor of Branded Fashion Design CRICOS Code: 090255J.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,3.0
Yes,ATAR,Bachelor of Business and Bachelor of Design,https://www.billyblue.edu.au/courses/double-degrees/bachelor-of-business-with-bachelor-of-design,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Brand Specialist, Entrepreneur, Marketing Manager, Partnership Manager, Buyer",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,BA,"Get the best of both worlds and combine a highly regarded business degree and a cutting-edge degree in design in your preferred field. Hybrid roles are the way of the future and graduates with this double degree are in demand now.Pursue an exciting and flexible career path. The Bachelor of Business with Bachelor of Design gives you the knowledge and confidence to launch your own creative business or go after leading roles in your chosen industry. You can pair the Bachelor of Business with the Bachelor of Communication Design, Branded Fashion, Interior Design (Commercial or Residential), Digital Media (Interaction Design), Digital Media (3D Design & Animation), or Digital Media (Film & Video Design).Please note the Cricos code related to your dual degree: Bachelor of Business / Bachelor of Interior Design (Commercial) CRICOS Code: 090260A Bachelor of Business / Bachelor of Interior Design (Residential) CRICOS Code 090262K Bachelor of Business / Bachelor of Digital Media (3D Design and Animation) CRICOS Code: 090256G Bachelor of Business / Bachelor of Digital Media (Interaction Design) CRICOS Code: 090258F Bachelor of Business / Bachelor of Digital Media (Film and Video Design) CRICOS Code: 090259E Bachelor of Business / Bachelor of Communication Design CRICOS Code: 090257G Bachelor of Business / Bachelor of Branded Fashion Design CRICOS Code: 090255J.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,3.0
Yes,ATAR,Graduate Certificate in UX and Web Design,https://www.billyblue.edu.au/courses/postgraduate-courses/graduate-certificate-in-ux-and-web-design,Bachelor's Degree,English,Yes,IELTS,Yes,No ATAR needed,"Information architect, Interaction designer, User experience designer, User interface designer, Web designer",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,GCERT,"UX has become so important to so many industries in the past few years, it’s amazing that it wasn’t always at the top of every employer’s list of requirements in an applicant. Of course, it’s more than just a buzzword. Teamed up with web design, it’s the ultimate frontier in crafting the future we all want to live in – where the techno-wonders we create make sense to us as quickly and painlessly as possible. If you’re feeling dubious, download a TRS-80 emulator and try to puzzle out any of the games without reading a manual. Nightmare.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,,
Yes,ATAR,Master of Design / Master of Design (Advanced),https://www.billyblue.edu.au/courses/postgraduate-courses/master-of-design,Bachelor's Degree,English,Yes,IELTS,Yes,No ATAR needed,"Managerial roles in Design agencies/other organisations, Creative business founder / owner, Creative leader or director, University Lecturer",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,MST,"This is an accelerated postgraduate program that’s custom-designed to have you quick in, quick out. That doesn’t mean it’s a rush-job production line. Instead, it’s built to engage designers, developers, technologists, programmers, artists and teachers to explore the convergent space between design, project management and business systems. Oh, and to creatively shape technologies, systems and applications. Design thinking is being used in almost every industry you can imagine, and this course helps mould you into the kind of person these businesses want – clever, creative and commercial. Possibly even well dressed, but that’s more on you than us.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Year,1.0
Yes,ATAR,"Master Of Software Engineering (Artificial Intelligence, Advanced)",https://www.billyblue.edu.au/courses/creative-technology-courses/master-of-software-engineering-artificial-intelligence-advanced,Bachelor's Degree,English,Yes,IELTS,Yes,No ATAR needed,"Senior Software Engineer, Senior Systems Engineer, AI Researcher, Research & Development Engineer, Technical Director",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,MST,"This is where you learn to teach machines the meaning of ‘love’ without them exploding into a thousand pieces. It’s a rigorous course aimed at experienced software engineers who want to deepen their knowledge of AI, pursue specialist careers in the field and / or reprogram a planet wide intelligence network for good instead of evil, freeing its fleshbot slaves and zooming off into hyperspace as heroes. (BYO planet-wide intelligence network and hyperdrive-fitted spacecraft.) Tailored to your unique needs, this intensive course is all about investigating advanced software engineering techniques, challenging the foundational principles of your chosen discipline and exploring the boundaries of software design under the expert guidance of one-to-one professional mentors, almost all of whom have belly buttons.",,Years,Australia,Equivalent AQF level,6.5,AUD,Yes,Years,2.0
Yes,ATAR,"Master Of Software Engineering (Artificial Intelligence, Advanced)",https://www.billyblue.edu.au/courses/creative-technology-courses/master-of-software-engineering-artificial-intelligence-advanced,Bachelor's Degree,English,Yes,IELTS,Yes,No ATAR needed,"Senior Software Engineer, Senior Systems Engineer, AI Researcher, Research & Development Engineer, Technical Director",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,MST,"This is where you learn to teach machines the meaning of ‘love’ without them exploding into a thousand pieces. It’s a rigorous course aimed at experienced software engineers who want to deepen their knowledge of AI, pursue specialist careers in the field and / or reprogram a planet wide intelligence network for good instead of evil, freeing its fleshbot slaves and zooming off into hyperspace as heroes. (BYO planet-wide intelligence network and hyperdrive-fitted spacecraft.) Tailored to your unique needs, this intensive course is all about investigating advanced software engineering techniques, challenging the foundational principles of your chosen discipline and exploring the boundaries of software design under the expert guidance of one-to-one professional mentors, almost all of whom have belly buttons.",,Years,Australia,Equivalent AQF level,6.5,AUD,Yes,Years,2.0
Yes,ATAR,"Master Of Software Engineering (Cloud Computing, Advanced)",https://www.billyblue.edu.au/courses/creative-technology-courses/master-of-software-engineering-cloud-computing-advanced,Bachelor's Degree,English,Yes,IELTS,Yes,No ATAR needed,"Senior Software Engineer , Senior Systems Engineer , Applications Solution Architect , Development Director , Systems Architect",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,MST,"Built in collaboration with IBM, for experienced software engineers to significantly deepen their knowledge of the computing that goes on in clouds, this course has a strong industry focus. You’ll learn by working on industry projects, approach wide-ranging topics from an entrepreneurial mindset, and explore the design thinking, ethics and moral values requiredin tech for good companies. It’s the perfect opportunity to apply coherent and advanced knowledge from cloud computing and DevOps in diverse contexts, including social impact and emerging technologies. Prepare yourself for a specialist career in the cloud, friend.",,Years,Australia,Equivalent AQF level,6.5,AUD,Yes,Years,2.0
Yes,ATAR,"Master Of Software Engineering (Cloud Computing, Advanced)",https://www.billyblue.edu.au/courses/creative-technology-courses/master-of-software-engineering-cloud-computing-advanced,Bachelor's Degree,English,Yes,IELTS,Yes,No ATAR needed,"Senior Software Engineer , Senior Systems Engineer , Applications Solution Architect , Development Director , Systems Architect",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,MST,"Built in collaboration with IBM, for experienced software engineers to significantly deepen their knowledge of the computing that goes on in clouds, this course has a strong industry focus. You’ll learn by working on industry projects, approach wide-ranging topics from an entrepreneurial mindset, and explore the design thinking, ethics and moral values requiredin tech for good companies. It’s the perfect opportunity to apply coherent and advanced knowledge from cloud computing and DevOps in diverse contexts, including social impact and emerging technologies. Prepare yourself for a specialist career in the cloud, friend.",,Years,Australia,Equivalent AQF level,6.5,AUD,Yes,Years,2.0
