Career_Outcomes/path,Prerequisite_2_grade_2,Course,Face_to_Face,Blended,Prerequisite_3,Local_Fees,Prerequisite_1,Distance,Prerequisite_3_grade_3,Online,Website,Prerequisite_1_grade_1,Currency,Full_Time,Level_Code,Duration_Time,University,Course_Lang,Country,Faculty,Remarks,Duration,Currency_Time,Prerequisite_2,Offline,Description,Int_Fees,Part_Time,City,Availability
,,Graduate Certificate in Accounting,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCACC,,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,2.0,Years,,Yes,"The Graduate Certificate in Accounting is a course that will service the needs of students requiring four or fewer units for accreditation with the professional accounting bodies. It can serve as an entry and exit point for the Master of Professional Accounting. The course comprises four units (that is 24 credit points) and is usually used to supplement existing studies in accounting to satisfy the entry requirements of the professional accounting organisations. Subjects are drawn from the Master of Professional Accounting and may cover introductory as well as advanced units in accounting, finance, systems, law, auditing, economics and business statistics. ",,Yes,Armidale,A
,,Graduate Certificate in Agribusiness,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCAGB,,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,Demand for agribusiness professionals continues to grow. This course provides students with the opportunity to enhance or develop their competencies in key multi-disciplinary agribusiness content areas. It is designed for both candidates with an agribusiness background wishing to enhance their skills and candidates seeking to gain employment in the agribusiness sector.,,Yes,Armidale,A
,,Graduate Certificate in Agriculture,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCAGR,,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,4.0,Years,,Yes,The Graduate Certificate in Agriculture is the first award level of a fully articulated program which gives qualified applicants the opportunity for study at a higher level in agriculture related disciplines - Master of Science in Agriculture.,,Yes,Armidale,A
,,Graduate Certificate in Applied Economics,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCAPEC,,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,4.0,Years,,Yes,"This is an Exit Award only for candidates who have completed 24 credit points towards either the Graduate Diploma in Economics, Master of Economics or the Master of Economic and Regional Development.",,No,Armidale,A
,,Graduate Certificate in Applied Linguistics,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCAPL,,AUD,No,MST,Years,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,6.0,Years,,Yes,This course is an Exit Award only for students who have completed 24 credit points in the Master of Applied Linguistics.,,Yes,Armidale,A
,,Graduate Certificate in Arts,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCA,,AUD,No,MST,Years,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,4.0,Years,,Yes,The Graduate Certificate in Arts is designed to enable graduates who wish to expand on their undergraduate program or who wish to change the direction of their focus and pursue studies in an area of personal interest.,,Yes,Armidale,A
,,Graduate Certificate in Business,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCBUS,,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,"This course provides students with the opportunity to enhance or develop their competencies in key multidisciplinary business content areas including accounting, economics, finance, human resource management, management and marketing. It is designed for students who want to enhance their business skills and employment opportunities and can be tailored to suit individual work and career goals.",,Yes,Armidale,A
,,Graduate Certificate in Data and Cyber Management,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCDCM,,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,2.0,Years,,Yes,"The Graduate Certificate in Data and Cyber Management is targeted at leaders who are looking to equip themselves with the knowledge and skills needed to address the importance of effective cyber management in any organisation. The Graduate Certificate gives leaders an opportunity to explore contemporary and global data security strategies, become familiar with the legal and political spectrum of data security and provide the tools to affect a positive organisation-wide data security culture.",,Yes,Armidale,A
,,Graduate Certificate in Data Science,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCDSC,,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,6.0,Years,,Yes,"Data is a vital asset valued by virtually every organisation in the world. It provides the basis for sensible, evidence-based decision making, and the ability to manage and make sense of data is a key skill in the modern workplace. In the last decade, streams of data of various types have grown in volume and velocity such that they require specialist skills in order to get the most value from them. Data scientists are responsible for building intelligent systems, mastering intuitive processes and bringing structure to the vast quantities of data to unlock the potential for improvement and competitive advantage.",,Yes,Armidale,A
,,Graduate Certificate in Disability Practice,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCDIS,,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,2.0,Years,,Yes,This course was previously known as Graduate Certificate in Disability.,,Yes,Armidale,A
,,Graduate Certificate in Education Studies,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCES,,AUD,No,MST,Years,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,6.0,Years,,Yes,"This course is designed for professionals to study in depth a range of areas related to education. Participants may choose from a range of units from different areas or specialise in the area of Teaching English to Speakers of Other Languages (TESOL) (also known as Teaching English as an Additional Language or Dialect (EAL/D)). Some units are related to the school curriculum. However, these units are not intended for the purposes of teacher preparation in any particular method. The course articulates with the Master of Education and so provides a pathway for candidates wishing to pursue further study. ",,Yes,Armidale,A
,,Graduate Certificate in eLearning,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCEL,,AUD,No,MST,Years,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,2.0,Years,,Yes,"Why study the Graduate Certificate in eLearning at UNE? The course has been designed to meet the needs of all involved in the area of web-based teaching and learning. This includes: teachers, education officers, training and development personnel across all professions. The course content and experiences are developed within the context of each individual's specific needs and circumstances. This course is delivered fully online and involves a range of individual and collaborative learning activities. Assessment includes opportunities to tailor requirements to individual needs. Career Opportunities School-based teachers; Professional educators; Staff trainers, consultants and professional developers; Materials developers; Career advisers; VET sector educators and educators in the professions. Note: Full time study is only available to candidates who commence in Trimester 1.",,Yes,Armidale,A
,,Graduate Certificate in Environmental Science,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCENSC,,AUD,No,MST,Years,University of New England,English,Australia,Medicine and Health,,6.0,Years,,Yes,The Graduate Certificate in Environmental Science is the first award level of an articulated program which gives qualified applicants the opportunity for study at progressive postgraduate levels in Environmental Science.,,Yes,Armidale,A
,,Graduate Certificate in Financial Planning,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCFP,,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,2.0,Years,,Yes,This course is not offered in 2021.,,Yes,Armidale,A
,,Graduate Certificate in Health Management,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCHM,,AUD,No,MST,Years,University of New England,English,Australia,Medicine and Health,,2.0,Years,,Yes,"This course aims to meet the needs of health professionals who are required to document evidence of continuing education in order to maintain active membership in their professional associations, the Australasian College of Health Service Management. It is designed to serve as a flexible, self-directed entry into other advanced academic courses such as a the Master of Health Management.",,Yes,Armidale,A
,,Graduate Certificate in Health Professional Education,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCHPE, ,AUD,No,MST,Year,University of New England,English,Australia,Medicine and Health,,1.0,Years,,Yes,This course is not offered in 2021.,,Yes,Armidale,A
,,Graduate Certificate in Human Resource Management,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCHRM, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,2.0,Years,,Yes,"The Graduate Certificate provides graduates with fundamental knowledge about human resource management (HRM). It has been designed to meet the needs of those people wanting to become successful human resource professionals, as well as those who are responsible for managing people and who are concerned with designing, implementing and maintaining innovative HRM practices within their workplaces. The units making up the Graduate Certificate provide students with the opportunity to apply current theory relevant to HRM to their workplace through work-based assessment activities. The Graduate Certificate articulates with the Master of Business Administration and the Master of Strategic Organisational Development and Human Resource Management.",,Yes,Armidale,A
,,Graduate Certificate in Information Technology,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCIT, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,6.0,Years,,Yes,"Information and computing technology affects all aspects of modern life and there is a worldwide shortage of ICT professionals. Its applications now include, not only commerce and science, but also health, education, engineering, transport, government, entertainment, sport, and social networking. It has become so complex that only well-educated professionals are capable of developing and applying ICT systems in modern organisations.",,Yes,Armidale,A
,,Graduate Certificate in Law,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCL, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,6.0,Years,,Yes,This course is an Exit Award only for students who have completed 24 credit points at 500 level from units in the Master of Laws.,,No,Armidale,A
,,Graduate Certificate in Management,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCMGT, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,2.0,Years,,Yes,"This course provides students with the key skills to be an effective manager in any organisational context. The course comprises four units, one of which is prescribed, and others that are drawn from a range of areas, including accounting, business analytics, economics, finance, human resource management, management or marketing enabling you to tailor the degree to suit your work and career goals. This degree serves as an exit point for the Master of Business Administration and the Master of Strategic Organisational Development and Human Resource Management.",,Yes,Armidale,A
,,Graduate Certificate in Mental Health Practice,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCMHP, ,AUD,No,MST,Years,University of New England,English,Australia,Medicine and Health,,6.0,Years,,Yes,The Graduate Certificate in Mental Health Practice is an interdisciplinary award designed to equip health professionals to support people with mental health issues and their carers. It is based on the Mental Health competencies in the National Standards for the Mental Health Workforce as part of the National Mental Health Strategy. Students will be introduced to the mental health care system in Australia and the assessment skills and intervention strategies required to work effectively in the mental health field.,,Yes,Armidale,A
,,Graduate Certificate in NDIS Business Development,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCNDIS, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,2.0,Years,,Yes,The Graduate Certificate in NDIS Business Development offers students a program of study to enhance their understanding and appreciation of the issues affecting the disability sector. As such it offers study of both legal and business frameworks that might impact upon organisational operations that may affect the optimum delivery of client focussed services. At the end of the program of study students will have a sound grasp of the legislative frameworks underpinning the National Disability Insurance Scheme.,,Yes,Armidale,A
Environmental planning; Urban and regional planning; Natural resource management; and Emergency management,,Graduate Certificate in Planning and Management of Natural Hazards,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCPMNH, ,AUD,No,MST,Years,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,2.0,Years,,Yes,The Graduate Certificate in Planning and Management of Natural Hazards takes a multidisciplinary approach to looking at natural hazards and how society can build resilience in the face of natural hazards. The course will build from a broad knowledge of natural hazard situations towards questions of policy development in the field of hazard mitigation. The course will cover the following topic areas:,,Yes,Armidale,A
"Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",,Graduate Certificate in Professional Practice,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCPRP, ,AUD,No,MST,Years,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,6.0,Years,,Yes,"The Graduate Certificate in Professional Practice is a Bespoke course which gives you the freedom to choose from more than 500 units across the full breadth of university subject areas, and assemble them into your own unique course.",,Yes,Armidale,A
"Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",,Graduate Certificate in Research Methods in Health and Social Care,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCRMHS, ,AUD,No,MST,Years,University of New England,English,Australia,Medicine and Health,,6.0,Years,,Yes,This course is an Exit Award for students who have completed 24 credit points from units selected from the Master of Philosophy (Health).,,No,Armidale,A
"Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",,Graduate Certificate in Science,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCSC, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,6.0,Years,,Yes,The Graduate Certificate in Science is a course designed for students who wish to expand on their undergraduate program. ,,Yes,Armidale,A
"Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",,Graduate Diploma in Accounting,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDACC, ,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,"The Graduate Diploma in Accounting is a course that will service the needs of students requiring up to eight units for accreditation with the professional accounting bodies. It can serve as an entry and exit point for the Master of Professional Accounting. The course comprises eight units (that is 48 credit points) and is usually used to supplement existing studies in accounting to satisfy the entry requirements of the professional accounting organisations. Subjects are drawn from the Master of Professional Accounting and may cover introductory as well as advanced units in accounting, finance, systems, law, auditing, economics and business statistics.",,Yes,Armidale,A
"Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",,Graduate Diploma in Applied Linguistics,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDAPL, ,AUD,No,MST,Year,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,1.0,Years,,Yes,This course is an Exit Award only for students who have completed 48 credit points in the Master of Applied Linguistics.,,Yes,Armidale,A
"Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",,Graduate Diploma in Counselling,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDC1, ,AUD,No,MST,Years,University of New England,English,Australia,Medicine and Health,,4.0,Years,,Yes,"The Graduate Diploma in Counselling prepares graduates to work as university-qualified registered counsellors in a diverse range of counselling contexts. Combining online study with mandatory intensive schools in a blended learning format, the course is ideally suited to individuals with a prior degree in any discipline wishing to gain an industry-recognised, tertiary-level qualification whilst continuing to meet their work and family commitments. As part of the award, students can complete either the Generalist Counselling Pathway or the Counselling Placement Pathway which includes 40 hours of face-to-face counselling; 10 hours of clinical supervision and 150 hours of agency-based activities. The course provides a direct pathway to the Master of Counselling at UNE and is accredited by the Australian Counselling Association (ACA), a national peak association, and Australia's largest single registration body for counsellors and psychotherapists. Student membership with the ACA is available while undertaking the course, with professional membership eligibility after graduation. Graduates who engage in ongoing professional development are also eligible to be listed on the Australian Register of Counsellors and Psychotherapists (ARCAP), an independent national register of qualified counsellors and psychotherapists.",,Yes,Armidale,A
"Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",,Graduate Diploma in Data Science,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDDSC, ,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,"Data is a vital asset valued by virtually every organisation in the world. It provides the basis for sensible, evidence-based decision making, and the ability to manage and make sense of data is a key skill in the modern workplace. In the last decade, streams of data of various types have grown in volume and velocity such that they require specialist skills in order to get the most value from them. Data scientists are responsible for building intelligent systems, mastering intuitive processes and bringing structure to the vast quantities of data to unlock the potential for improvement and competitive advantage.",,Yes,Armidale,A
"Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",,Graduate Diploma in Disability Practice,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDDIS, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,4.0,Years,,Yes,This course was previously known as Graduate Diploma in Disability.,,Yes,Armidale,A
"Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",,Graduate Diploma in Economics,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDEC, ,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,"This course can provide a formal qualification in the field of economics for graduates with little background in the discipline, or it can act as a refresher course in economics for those whose initial studies occurred some time ago. It is also a broadening course for those who wish to extend their knowledge of economics into areas not previously studied such as Economic Development, Economic Policy, Agricultural and Resource Economics or Advanced Economic Theory. Finally, it can be a qualifying step towards higher studies, particularly the Master of Economics program.",,Yes,Armidale,A
"Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",,Graduate Diploma in Educational Studies,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDEDS, ,AUD,Yes,MST,Year,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,1.0,Years,,Yes,"This course is an Exit Award only for students who have completed 48 credit points from specified units in the Graduate Diploma in Education, Master of Teaching (Primary) or Master of Teaching (Secondary). It is not a teaching qualification and does not meet requirements for teacher accreditation.",,No,Armidale,A
"Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",,Graduate Diploma in Financial Planning,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDFP01, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,2.0,Years,,Yes,"The Graduate Diploma in Financial Planning is designed for students wanting an accredited qualification in financial planning. The course equips students with the specialist knowledge and skills to apply professional and ethical judgement in the provision of financial planning advice in accordance with the Financial Adviser Standards and Ethics Authority (FASEA) Code of Ethics and the regulatory and legal obligations of the financial planning profession. Students will undertake authentic learning activities that enable them to apply advanced discipline knowledge and ethical frameworks to client-based financial planning scenarios, simulated activities and design of financial planning documents such as statements of advice. Graduates will create a portfolio of work demonstrating their professional financial planning knowledge and skills across a range of client-based and financial services contexts. Graduates will develop their communication, inter-personal, problem-solving and decision-making skills and understanding of behavioural finance to enable the provision of professional and ethical financial planning advice to meet the needs and goals of clients. Students will be given authentic and simulated client based financial advice scenarios to analyse data and information, and use professional and ethical knowledge and judgement to develop strategies, draft statements of advice and provide financial planning advice appropriate to the level of financial literacy of the client.",,Yes,Armidale,A
"Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",,Graduate Diploma in Health Management,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDHM, ,AUD,No,MST,Year,University of New England,English,Australia,Medicine and Health,,1.0,Years,,Yes,"This course aims to meet the needs of health professionals who are required to document evidence of continuing education in order to maintain active membership in their professional association, the Australasian College of Health Service Management. It is designed to serve as a flexible, self-directed entry into other advanced academic courses such as the Master of Health Management.",,Yes,Armidale,A
"Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",,Graduate Diploma in Information Technology,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDIT, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,4.0,Years,,Yes,"Information and computing technology affects all aspects of modern life and there is a worldwide shortage of ICT professionals. Its applications now include, not only commerce and science, but also health, education, engineering, transport, government, entertainment, sport, and social networking. It has become so complex that only well-educated professionals are capable of developing and applying ICT systems in modern organisations.",,Yes,Armidale,A
"Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",,"Graduate Diploma in Local, Family and Applied History",Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDLFAH, ,AUD,No,MST,Year,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,1.0,Years,,Yes,"The Graduate Diploma in Local Family and Applied History is designed specifically for students who are interested in the pursuit of local, family and applied history for personal, community or professional reasons. It offers training in, for example, family and local history sources and approaches, heritage conservation, history and museums, monuments and memorials, oral history, and history in film. It also offers an opportunity to pursue professional development through work experience in an applied history area; locates local, family and applied history within broader practices in researching and presenting history; and introduces the wide variety of work opportunities - paid and voluntary - available to professional historians. ",,Yes,Armidale,A
"Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",,Graduate Diploma in Management,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDMGT, ,AUD,No,MST,Year,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,1.0,Years,,Yes,This an Exit Award only for candidates who have completed 48 credit points towards either the Master of Business Administration or the Master of Strategic Organisational Development and Human Resource Management.,,No,Armidale,A
"Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",,Graduate Diploma in Mental Health Practice,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDMHP, ,AUD,No,MST,Years,University of New England,English,Australia,Medicine and Health,,6.0,Years,,Yes,"The Graduate Diploma in Mental Health Practice provides students with an opportunity to develop advanced level knowledge about mental health assessment skills and evidence-based practice. The course is designed to equip graduates from a variety of backgrounds with an ethically sound knowledge and understanding of the theory, principles and practice of mental health practice. The course is underpinned by the bio-psychosocial model of mental health and is designed to prepare competent, self-reflexive, multi-disciplinary health and human service professionals to support people experiencing mental health problems and their families.",,Yes,Armidale,A
The course is offered full time or part time. It can be taken on-campus or by distance.,,Graduate Diploma in Planning and Management of Natural Hazards,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDPMNH, ,AUD,No,MST,Years,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,6.0,Years,,Yes,The Graduate Diploma in Planning and Management of Natural Hazards takes a multidisciplinary approach to looking at natural hazards and how society can build resilience in the face of natural hazards. The course will build from a broad knowledge of natural hazard situations towards questions of policy development in the field of hazard mitigation. The course will cover the following topic areas:,,Yes,Armidale,A
"· Diversify skillsets to create more career choices,",,Graduate Diploma in Professional Practice,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDPRP, ,AUD,No,MST,Year,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,1.0,Years,,Yes,"The Graduate Diploma in Professional Practice is a Bespoke course which gives you the freedom to choose from more than 500 units across the full breadth of university subject areas, and assemble them into your own unique course.",,Yes,Armidale,A
"· Diversify skillsets to create more career choices,",,Graduate Diploma in Psychology,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDPSY, ,AUD,No,MST,Year,University of New England,English,Australia,Medicine and Health,,1.0,Years,,Yes,"Are you interested in studying psychology, but have already completed a Bachelor degree in other subject areas? The Graduate Diploma in Psychology (GradDipPsych) provides an effective means of getting an accredited undergraduate major in psychology to satisfy personal interest, or in order to pursue subsequent studies in psychology at fourth year and beyond for academic or professional reasons. With no former university units in psychology this degree involves 10 units that can be completed in a minimum of 1 year (if study commences in Trimester 3 and finishes in Trimester 2 of the following year). If an applicant has already completed Introductory Psychology units in a previous degree then they only need undertake 8 post-introductory units; which can be completed within two trimesters full-time. Advanced standing on up to fifty percent (50%) of the units in this course is available.",,Yes,Armidale,A
Applications close EST 11.59pm on Thursday 31st October 2019.,,Graduate Diploma in Psychology (Advanced),Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDPSYA, ,AUD,No,MST,Years,University of New England,English,Australia,Medicine and Health,,2.0,Years,,Yes,This course is not offered in 2021.,,Yes,Armidale,A
Applications close EST 11.59pm on Thursday 31st October 2019.,,Graduate Diploma in Public Accounting,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDPA, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,2.0,Years,,Yes,The Graduate Diploma in Public Accounting is an Exit Award only for candidates who have completed 48 credit points towards the Master of Commerce (Public Accounting). This course satisfies the professional educational requirements needed to obtain membership of the Institute of Public Accountants (IPA).,,No,Armidale,A
Applications close EST 11.59pm on Thursday 31st October 2019.,,Graduate Diploma in Science,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDSC, ,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,"The Graduate Diploma in Science provides an opportunity for graduates to upgrade or extend their qualifications in a field of study not covered in depth in their undergraduate studies. Study programs are designed to meet the candidate's interests and academic background and involve a combination of course work selected from a chosen field of study. Available fields of study are: applied statistics, biochemistry, biodiversity science, biomedical science, chemistry, computational data science, genetics, health, mathematics, medicinal chemistry, physical sciences, quantitative ecology, regulatory science and zoology.",,Yes,Armidale,A
Applications close EST 11.59pm on Thursday 31st October 2019.,,Graduate Diploma in Urban and Regional Planning,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GDURP, ,AUD,No,MST,Year,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,1.0,Years,,Yes,The Graduate Diploma in Urban and Regional Planning offers a thorough grounding in urban and regional planning both to graduates wishing to enter the profession and to practising professionals wishing to upgrade their knowledge.,,Yes,Armidale,A
"The Master of Applied Linguistics has a proven track record in helping students achieve employment and promotion in fields as diverse as language policy, management of language programs, government, health and the law as well as entry to higher degree research programs.",,Master of Applied Linguistics,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MAAL, ,AUD,No,MST,Years,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,6.0,Years,,Yes,"UNE's Master of Applied Linguistics (MAAL) degree provides a professional qualification for those working in language teaching, language program management, TESOL, social services, health, education and the law, as well as those who work with linguistic and cultural minorities.",,Yes,Armidale,A
"The Master of Applied Linguistics has a proven track record in helping students achieve employment and promotion in fields as diverse as language policy, management of language programs, government, health and the law as well as entry to higher degree research programs.",,Master of Applied Theatre Studies,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MATS, ,AUD,No,MST,Year,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,1.0,Years,,Yes,The Master of Applied Theatre Studies provides students with a unique opportunity to study applied theatre and performance at a postgraduate level entirely via distance education. This is currently the only course of its nature in Australia. ,,Yes,Armidale,A
