Career_Outcomes/path,Prerequisite_2_grade_2,Course,Face_to_Face,Blended,Prerequisite_3,Local_Fees,Prerequisite_1,Distance,Prerequisite_3_grade_3,Online,Website,Prerequisite_1_grade_1,Currency,Full_Time,Level_Code,Duration_Time,University,Course_Lang,Country,Faculty,Remarks,Duration,Currency_Time,Prerequisite_2,Offline,Description,Int_Fees,Part_Time,City,Availability
"The Master of Applied Linguistics has a proven track record in helping students achieve employment and promotion in fields as diverse as language policy, management of language programs, government, health and the law as well as entry to higher degree research programs.",,Master of Arts,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MA, ,AUD,No,MST,Year,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,1.0,Years,,Yes,"The Master of Arts is designed to enable graduates to pursue further studies in an area of personal interest, for professional development, or as a pathway to higher degree research, by studying a number of graduate level units. Whilst completing their major, students are able to tailor a program of study to suit their interests by enrolling in units within the one subject area, or selecting units from a range of subject areas, as listed for this course.",,Yes,Armidale,A
An optional major research project can enable strong candidates to move on to PhD studies.,,Master of Business Administration,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MBA, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,6.0,Years,,Yes,"Our MBA allows you to expand your professional skills and knowledge to achieve your career goals. The degree provides you with a comprehensive set of skills in the key fields of decision making, ethics, management, marketing and strategy needed to operate in a globalised economy.",,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Business Administration (Data and Cyber Management),Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MBADCM, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,6.0,Years,,Yes,Ready to unleash your leadership potential on the business world?,,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Business Administration (International),Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MBAI, ,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,"The Master of Business Administration (International) will provide you with the key skills needed to be an effective manager in international business. The core units will provide students with the broad base you need for success in understanding business in a globalised economy. Key units include accounting, finance, economics, ethics, international business, management and strategic planning which underpin contemporary business operations in public, private and not-for-profit sectors.",,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Commerce,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MCOM, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,4.0,Years,,Yes,This course is not offered in 2021.,,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Computer Science,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MCOSC, ,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,"Information and computing technology affects all aspects of modern life and there is a worldwide shortage of ICT professionals. Its applications now include, not only commerce and science, but also health, education, engineering, transport, government, entertainment, sport, and social networking. It has become so complex that only well-educated professionals are capable of developing and applying ICT systems in modern organisations. Even professionals in other disciplines need a sound understanding of ICT to perform their own jobs efficiently and effectively.",,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Counselling,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MC, ,AUD,No,MST,Years,University of New England,English,Australia,Medicine and Health,,6.0,Years,,Yes,"The Master of Counselling offers an integrative approach to counsellor training and supervision, drawing upon a wide range of theories and evidence-informed practice to equip students with the advanced knowledge and skills-based competencies required by contemporary counselling practitioners. Emphasis is given to producing university-qualified, registered counsellors who are ethical, self-reflexive, and committed to lifelong learning and ongoing professional development.",,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Data Science,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MDSC, ,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,"Data is a vital asset valued by virtually every organisation in the world. It provides the basis for sensible, evidence-based decision making, and the ability to manage and make sense of data is a key skill in the modern workplace. In the last decade, streams of data of various types have grown in volume and velocity such that they require specialist skills in order to get the most value from them. Data scientists are responsible for buildng intelligent systems, mastering intuitive proesses and bringing structure to the vast quantities of data to unlock the potential for improvement and competitive advantage.",,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Disability Practice,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MDIS, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,6.0,Years,,Yes,"The Master of Disability Practice is designed to prepare graduates to work effectively with people who have disabilities. The emphasis will be upon best-practice in the fields of neurodevelopmental, cognitive, behavioural, physical, sensory and other disabilities. Students will be expected to develop evidence-based person-centred assessment and intervention skills, deliverable within a range of frameworks and settings. Functional Behavioural Assessment will be a key feature of this degree. The Master of Disability Practice is relevant to the training standards and requirements of the National Disability Insurance Scheme (NDIS",,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Economic and Regional Development,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MECRD, ,AUD,No,MST,Year,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,1.0,Years,,Yes,This course combines economic analysis with studies in specific community/regional development and will prepare you to work in either urban or rural contexts. It will cater for domestic and international students either already employed in such development or wishing to seek a career in this field.,,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Economics,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MECCW, ,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,"The Master of Economics program is an excellent means of obtaining advanced-level qualifications in the disciplines of Economics, Agricultural and Resource Economics and Econometrics which are all areas of research and teaching strength at UNE. The program can be studied on a full-time basis over two years, or by part-time or distance education for up to six years. This is a flexible program that can be pursued through a combination of coursework and independent research so that you can develop research skills and expertise that are relevant to your work and career goals.",,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Education,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MED, ,AUD,No,MST,Year,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,1.0,Years,,Yes,"The Master of Education is a course designed for professional educators who shall be admitted on the basis of their prior qualifications and who, in most cases, will be working in school settings. Successful completion of this course will deepen students' knowledge in a range of educational disciplines and engage students with contemporary practice and theory in those disciplines. The course has, in addition to an undesignated program pathway with a large range of curriculum options, specialisations that are designed to meet the needs of educators in a variety of professional contexts. These specialisations are: eLearning, Indigenous Australian Education, Special Education, and Teaching English to Speakers of Other Languages (also known as Teaching English as an Additional Language or Dialect (EAL/D)).The design of the Master of Education includes a nested program of Graduate Certificates that provide optional exit points. The course, with its focus on the needs of busy professionals, is available in full and part time mode using a variety of online learning technologies.The Master of Education (Special Education) is an approved Student Income Support course. Eligible students may apply for Youth Allowance or Austudy.",,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Environmental Science and Management,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MESCM, ,AUD,No,MST,Year,University of New England,English,Australia,Medicine and Health,,1.0,Years,,Yes,"The Master of Environmental Science and Management is a coursework and research-based program designed to equip environmental scientists with specialist or multi-disciplinary professional knowledge in conceptual, scientific and field and laboratory technical competencies related to environmental science and natural resources management. ",,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Health Management,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MHM03, ,AUD,No,MST,Year,University of New England,English,Australia,Medicine and Health,,1.0,Years,,Yes,"The Master of Health Management provides the learning material and experiences for students to develop the core knowledge and skills required of healthcare managers in a wide variety of public, private and non-government organisations where services for health and social care are designed, delivered and evaluated. This includes but is not limited to hospital and community settings, the aged care sector, government departments, private practice and small business. Depending on your previous qualifications the course is delivered in a variety of modes including online in full or part-time modes for flexibility to balance life, work and study. Students will complete their study program with a capstone unit in which they consolidate their theoretical learning of health management with a 'real world' action research project.",,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Health Management (International),Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MHMI, ,AUD,No,MST,Years,University of New England,English,Australia,Medicine and Health,,2.0,Years,,Yes,"The Master of Health Management (International) provides the learning material and experiences for students to develop the core knowledge and skills required of healthcare managers in a wide variety of public, private and non-government organisations where services for health and social care are designed, delivered and evaluated. This includes but is not limited to hospital and community settings, the aged care sector, government departments, private practice and small business. Students will complete their study program with a capstone unit in which they consolidate their theoretical learning of health management with a 'real world' action research project. The course is delivered on campus at UNE Sydney Campus.",,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of History,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MHIST, ,AUD,No,MST,Year,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,1.0,Years,,Yes,"The Master of History covers three distinct areas: discipline knowledge, a choice of area studies and writing history. The MHist suits students coming to the study of history for the first time as well as those who want to extend their knowledge in particular areas or upgrade their professional qualifications. The area studies cover both Ancient and Modern History, including Ancient Greece and Rome, the Ancient Near East, Early Modern and Medieval History, American History, Australian History, Asian History, European History and Public History. The course progresses from exploring the nature of history as a discipline through to specialised studies of historical periods and problems, and it ends with the opportunity to undertake substantial historical research projects including writing for publication.",,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Information Technology,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MIT, ,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,"The Master of Information Technology provides an opportunity for those who are looking for a change of direction in their career or for those who want to enhance their IT qualifications. Those seeking a change of direction can come in without any background in IT and graduate with a sound knowledge and understanding of IT qualifying them for employment in a broad range of positions in private industry, government agencies or research organisations which have an IT requirement. Similarly, the Master of Information Technology provides candidates who have an IT background with the opportunity to update their qualifications, with a number of entry options that recognise industry experience and previous study.",,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Information Technology (Business),Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MITBUS, ,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,"The Master of Information Technology (Business) provides an opportunity for those who are looking for a change of direction in their career or for those who want to enhance their IT qualifications and gain an understanding of the fundamental principles of business. Those seeking a change of direction can come in without any background in IT or business and graduate with a sound knowledge and understanding of IT and business principles which qualifies them for employment in a broad range of positions in private industry, government agencies or research organisations.",,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Laws,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MLAWCW, ,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,"The Master of Laws by coursework is designed for both Australian and international law graduates. Through an interdisciplinary approach, students will be able to broaden their knowledge and enhance their independent, critical thinking and research skills. The course will also enable students to achieve a high standard of professional writing and research relevant to current issues in law and practice. Students will have the opportunity to choose units of interest or specialise by undertaking units that form a major.",,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Mental Health Practice,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MMHP, ,AUD,No,MST,Years,University of New England,English,Australia,Medicine and Health,,6.0,Years,,Yes,This course is not offered in 2021.,,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Neuroscience,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MNSC, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,2.0,Years,,Yes,"Neuroscience is one of the fastest growing areas of study in human physiology. Graduates of this program will have been given the opportunity to understand how the brain works to maintain human behaviour, what may go wrong in those neurobiological processes, and the ways that research and remediation may be undertaken within multi-disciplinary settings.",,Yes,Armidale,A
- demonstrate a thorough understanding of core business concepts and theories,,Master of Nursing,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MN, ,AUD,No,MST,Year,University of New England,English,Australia,Medicine and Health,,1.0,Years,,Yes,This course will no longer be offered from 2021.,,Yes,Armidale,N
"Qualified nurses have a wide variety of career options and pathways. Registered Nurses can readily gain employment in the public or the private healthcare sectors and work in hospitals, community health centres and clinics in rural, regional and metropolitan settings. Nurses are also employed in doctors' surgeries, schools, government departments, by insurance companies, cruise lines and large corporations. Nurses have the options of many different work modes. For example, they can work full-time, part-time or flexible hours; they can work casually or on short-term contracts for nursing agencies. Australian trained nurses are sought after in many countries including the UK, US, South Africa, Canada and Saudi Arabia, so there are lots of travel options. Nursing careers are available in clinical settings, or in nursing management, nursing research or education.",,Master of Nursing Practice,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MNP, ,AUD,Yes,MST,Years,University of New England,English,Australia,Medicine and Health,,3.0,Years,,Yes,This course is not offered in 2021.,,No,Armidale,A
,,Master of Planning and Management of Natural Hazards,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MPMNH, ,AUD,No,MST,Year,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,1.0,Years,,Yes,The Master in Planning and Management of Natural Hazards takes a multidisciplinary approach to looking at natural hazards and how society can build resilience in the face of natural hazards. The course will build from a broad knowledge of natural hazard situations towards questions of policy development in the field of hazard mitigation. The course will cover the following topic areas:,,Yes,Armidale,A
,,Master of Professional Accounting,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MPA, ,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,"If you already have an undergraduate degree in another discipline, the Master of Professional Accounting is the best way to gain entry to the professional accounting bodies. The course is open to graduates but non graduates may enter following successful completion of the Graduate Certificate in Accounting. The course covers introductory as well as advanced units in financial and management accounting, finance, tax and company law and auditing. On successful completion, graduates can apply for Associate Membership of the Professional Accounting Bodies. The course is accredited by the Chartered Accountants Australia and New Zealand (CA ANZ) and CPA Australia. It meets the entry requirements of the Chartered Accountants Australia and New Zealand (CA ANZ), CPA Australia and the Institute of Public Accountants (IPA).",,Yes,Armidale,A
,,Master of Professional Psychology,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MPPSY, ,AUD,No,MST,Year,University of New England,English,Australia,Medicine and Health,,1.0,Years,,Yes,The Master of Professional Psychology provides selected psychology graduates with a fifth year of professional training in psychology. This includes 300 hours of practical training at a worksite identified by the student and meeting the supervision and experience requirements of the Australian Psychology Accreditation Council. The course is delivered online and can be studied full-time or part-time. Graduates of the course complete an additional one-year Psychology Board of Australia approved internship to be eligible for general registration as a psychologist in Australia.,,Yes,Armidale,A
,,Master of Psychology (Clinical),Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MPSYCH, ,AUD,No,MST,Years,University of New England,English,Australia,Medicine and Health,,2.0,Years,,Yes,"This course will train Psychology graduates and registered, experienced Psychologists in the professional specialisation of clinical psychology. The course is accredited by the Australian Psychology Accreditation Council (APAC) and involves 1000 hours of clinical placements. The first year of the course is undertaken full-time on-campus, with the exception of those students admitted under Rule (c)*, who can only study this course online, in full-time or part-time mode.",,Yes,Armidale,A
,,Master of Science in Agriculture,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MSCAG, ,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,"The Master of Science in Agriculture is a program of course work, research methodology and research designed to provide an introduction to research. The course work component is designed to provide advanced knowledge and to develop a range of skills, applicable to the candidate's background and area of interest.",,Yes,Armidale,A
,,Master of Scientific Studies,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MSCST, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,2.0,Years,,Yes,The Master of Scientific Studies is a course work plus research degree designed to provide specialised training in a specific field of study. The degree involves advanced level course work study and students must complete one of the following majors: Biochemistry; Biodiversity Science; Biomedical Science; Chemistry; Genetics; Mathematics; Medicinal Chemistry; Quantitative Ecology or Zoology.,,Yes,Armidale,A
,,Master of Social Work (Professional Qualifying),Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MSW, ,AUD,No,MST,Years,University of New England,English,Australia,Medicine and Health,,2.0,Years,,Yes,"The Master of Social Work (Professional Qualifying) provides graduates with the theoretical and practical skills required to work as a professional social worker, an occupation that the Australian government predicts will continue to experience very strong growth. This course is accredited with the Australian Association of Social Workers (AASW) and graduates are eligible to become a member of the AASW. Social workers typically work with disadvantaged and marginalised individuals, groups, and communities within a social justice and human rights framework in counselling, advocacy, and the enhancement of health and well-being. Social workers address the barriers, inequality and injustices faced by many groups in our community. UNE's social work program embraces a framework that examines the dynamic interaction of human behaviour, institutions and complex social interactions. Covering all the core requirements of an accredited professional social work degree, the MSW (Professional Qualifying) at UNE emphasises practice in rural and complex community environments, and focuses on rights-based practice, mental health, Indigenous peoples, child protection and the law. The course incorporates the mandatory 1000 hours of professional fieldwork placement supervised by experienced practitioners indiverse social work settings locally and overseas. Study requirements allow students choice to study either on campus or online, with periodic compulsory intensive face-to-face classes for students who learn by distance.",,Yes,Armidale,A
,,Master of Strategic Organisational Development and Human Resource Management,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MSODHR, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,6.0,Years,,Yes,The Master of Strategic Organisational Development and Human Resource Management is specifically designed to meet the needs of professionals who are either currently practising or wish to practise in the field of organisational development and/or human resource management. ,,Yes,Armidale,A
,,Master of Teaching (Primary),Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MTCHPM, ,AUD,No,MST,Years,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,2.0,Years,,Yes,"The Master of Teaching (Primary) is a two-year graduate entry initial teacher education program for pre-service primary teachers. The program is informed by the latest research and contains (i) an introduction to the profession, Aboriginal education, teaching students who have English as an additional language or dialect, teaching and learning, inclusive and special education, classroom behaviour management, literacy and numeracy education and ICT across the curriculum; (ii) eight curriculum methods units; and (iii) 60 days of professional experience are spread across three units in the course, including an 'online demonstration school' and a professional experience partial internship. Students are also introduced to research principles and methods and complete a research project as part of their candidature. All students complete a Primary Specialisation in English/Literacy.",,Yes,Armidale,A
,,Master of Teaching (Secondary),Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MTCHSC, ,AUD,No,MST,Years,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,2.0,Years,,Yes,"The Master of Teaching (Secondary) is a graduate entry initial teacher education program. Candidates may complete up to three designated teaching areas based on their background studies from the following: English, Mathematics, Investigating Science, Agriculture, Biology, Business Studies/Commerce, Chemistry, Computing, Drama, Economics/Commerce, Earth and Environmental Science, Geography, History, Languages, Legal Studies, Mathematics/Physics, Music, Physics, Society and Culture and Studies of Religion. Furthermore, it should be noted that candidates should abide by the letter of offer in terms of their teaching areas. Candidates may also choose the Master of Teaching (Secondary) to take advantage of the Teaching English as an Additional Language or Dialect (EAL/D) specialisation and/or the extended curriculum programs in English, Mathematics, Science and Music. ",,Yes,Armidale,A
,,Master of Urban and Regional Planning,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MURP, ,AUD,No,MST,Year,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,1.0,Years,,Yes,The Master of Urban and Regional Planning offers a thorough grounding in urban and regional planning both to graduates wishing to enter the profession and to practising professionals wishing to upgrade their knowledge. ,,Yes,Armidale,A
,,Doctor of Education,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/EDD, ,AUD,No,DOC,Years,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,3.0,Years,,Yes,"The University of New England is committed to maintaining its strong research culture, underpinned by high research training standards. The University Doctor of Education (EdD) Rules provide the framework for one of the University's highest level awards. They provide the rigorous processes that are essential for the maintenance of academic quality and integrity in the University's operations, and that reflect the University's values of providing a formative, respectful, inclusive, flexible and innovative environment for the delivery of high quality research training for its students.",,Yes,Armidale,A
,,Doctor of Philosophy,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/PHD, ,AUD,No,DOC,Years,University of New England,English,Australia,Medicine and Health,,3.0,Years,,Yes,"The University of New England is committed to maintaining its strong research culture, underpinned by high research training standards. The University Doctor of Philosophy Rules provide the framework for the University's highest level award. They provide the rigorous processes that are essential for the maintenance of academic quality and integrity in the University's operations, and that reflect the University's values of providing a formative, respectful, inclusive, flexible and innovative environment for the delivery of high quality research training for its students.",,Yes,Armidale,A
,,Doctor of Philosophy (Clinical Psychology),Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/PHDCP, ,AUD,No,DOC,Years,University of New England,English,Australia,Medicine and Health,,4.0,Years,,Yes,"The University of New England is committed to maintaining its strong research culture, underpinned by high research training standards. The University Doctor of Philosophy Rules provides the framework for the University's highest level award. They provide the rigorous processes that are essential for the maintenance of academic quality and integrity in the University's operations, and that reflect the University's values of providing a formative, respectful, inclusive, flexible and innovative environment for the delivery of high quality research training for its students.",,Yes,Armidale,A
,,Master of Education (Research),Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MEDR, ,AUD,No,MST,Year,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,1.0,Years,,Yes,"The University of New England is committed to maintaining its strong research culture, underpinned by high research training standards. The Master of Education (Research) Rules provide the framework for one of the University's AQF Level 9 awards. They provide the rigorous processes that are essential for the maintenance of academic quality and integrity in the University's operations, and that reflect the University's values of providing a formative, respectful, inclusive, flexible and innovative environment for the delivery of high quality research training for its students. ",,Yes,Armidale,A
,,Master of Environmental Science (Research),Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MESCH, ,AUD,No,MST,Years,University of New England,English,Australia,Medicine and Health,,2.0,Years,,Yes,"The University of New England is committed to maintaining its strong research culture, underpinned by high research training standards. The Master of Environmental Science (Research) Rules provide the framework for one of the University's AQF Level 9 awards. They provide the rigorous processes that are essential for the maintenance of academic quality and integrity in the University's operations, and reflect the University's values of providing a formative, respectful, inclusive, flexible and innovative environment for the delivery of high quality research training for its students.",,Yes,Armidale,A
,,Master of Laws (Research),Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MLAWRS, ,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,"The University of New England is committed to maintaining its strong research culture, underpinned by high research training standards. The Master of Laws (Research) Rules provide the framework for one of the University's AQF Level 9 awards. They provide the rigorous processes that are essential for the maintenance of academic quality and integrity in the University's operations, and that reflect the University's values of providing a formative, respectful, inclusive, flexible and innovative environment for the delivery of high quality research training for its candidates.",,Yes,Armidale,A
,,Master of Philosophy,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MPHIL, ,AUD,No,MST,Year,University of New England,English,Australia,Medicine and Health,,1.0,Years,,Yes,"The University of New England is committed to maintaining its strong research culture, underpinned by high research training standards. The Master of Philosophy Rules provide the framework for one of the University's AQF Level 9 awards. They provide the rigorous processes that are essential for the maintenance of academic quality and integrity in the University's operations, and that reflect the University's values of providing a formative, respectful, inclusive, flexible and innovative environment for the delivery of high quality research training for its students. ",,Yes,Armidale,A
,,Master of Rural Science,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MRURSC, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,2.0,Years,,Yes,"The University of New England is committed to maintaining its strong research culture, underpinned by high research training standards. The Master of Rural Science Rules provide the framework for one of the University's AQF Level 9 awards. They provide the rigorous processes that are essential for the maintenance of academic quality and integrity in the University's operations, and that reflect the University's values of providing a formative, respectful, inclusive, flexible and innovative environment for the delivery of high quality research training for its students.",,Yes,Armidale,A
,,Master of Science,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/MSC, ,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,2.0,Years,,Yes,"The University of New England is committed to maintaining its strong research culture, underpinned by high research training standards. The Master of Science Rules provide the framework for one of the University's AQF Level 9 awards. They provide the rigorous processes that are essential for the maintenance of academic quality and integrity in the University's operations, and that reflect the University's values of providing a formative, respectful, inclusive, flexible and innovative environment for the delivery of high quality research training for its students. ",,Yes,Armidale,A
