Faculty,Prerequisite_1_grade_1,Prerequisite_3,Prerequisite_2_grade_2,Currency_Time,City,Int_Fees,Career_Outcomes/path,Prerequisite_3_grade_3,Offline,Full_Time,Online,Local_Fees,Course_Lang,Website,Face_to_Face,University,Availability,Part_Time,Country,Blended,Course,Distance,Prerequisite_1,Duration_Time,Duration,Level_Code,Currency,Remarks,Description,Prerequisite_2
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,"This degree also provides the necessary qualifications for senior positions in early childhood such as, Director of a Centre and teaching in the VET sector. Graduates of the Bachelor of Education (Early Childhood Teaching) have a range of skills including organisational leadership, contemporary pedagogical understandings and interpersonal skills that are highly valued in all areas of life, not just early childhood occupations.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDEC1,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (Early Childhood Teaching),Yes,ATAR,Year,1.0,BA,AUD,,This degree is designed to meet the Australian Government's requirements for Early Childhood Education and to qualify graduates as four-year trained Early Childhood Teachers*.,
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,"This degree also provides the necessary qualifications for senior positions in early childhood such as, Director of a Centre and teaching in the VET sector. Graduates of the Bachelor of Education (Early Childhood Teaching) have a range of skills including organisational leadership, contemporary pedagogical understandings and interpersonal skills that are highly valued in all areas of life, not just early childhood occupations.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDISC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (In-service Conversion),Yes,ATAR,Year,1.0,BA,AUD,,"This is a degree with flexibility which offers currently accredited in-service teachers the option of up-skilling to a new sector of teaching, for example, secondary to primary, or primary to secondary. It also allows currently accredited secondary teachers to up-skill to another teaching subject. Finally, it also allows conditionally accredited ""three-year-trained"" teachers to upgrade to four-year trained.",
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,UNE offers pathways to teaching for those applicants who do not meet the new admission requirements:,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDK12,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (K-12 Teaching),Yes,ATAR,Years,4.0,BA,AUD,,The Bachelor of Education (K-12 Teaching) is a unique dual sector teacher education course that offers two career pathways for graduates. It is an undergraduate teacher education qualification that encompasses working in both Primary Schools and Secondary Schools. All candidates complete a NESA or National primary specialisation with a curriculum focus.,
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDK6,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (K-6 Teaching),Yes,ATAR,Years,4.0,BA,AUD,,"The Bachelor of Education (K-6 Teaching) is an initial-teacher education program; it aims to prepare Primary teachers who can teach from Kindergarten to Year 6 and who have a primary teaching specialisation as mandated by the Australian Institute of Teaching and School Leadership (AITSL). The course has been designed to meet the Australian Professional Standards for Teachers. Candidates choose between specialisations in Mathematics, Science and Technology, Language or English. Students with a strong background in or aptitude for Mathematics, Science and Technology, or Language can complete one of these specialisations, which have been approved by the NSW Education Standards Authority (NESA). Graduates with a NESA-approved primary specialisation receive a code on their teacher registration documentation which may advantage them when seeking a teaching position in a NSW Department of Education school. All other students complete a more general program with a National specialisation in English.",
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDPF,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (Pacific Focus),Yes,ATAR,Years,2.0,BA,AUD,,"The Bachelor of Education (Pacific Focus) is a unique course of study developed specifically for educators in the Pacific Islands. Graduates of the Associate Degree of Teaching (Pacific Focus) may undertake this course as an additional two years (full time equivalent) of study toward a Bachelor qualification. The course offers four career pathways for graduates and encompasses working with children in Early Childhood Education, Primary Education, Secondary Education, and Inclusive Education, as well as professional experience and a 50-day internship.",
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,"Option 1 - You may attempt the Bachelor of Education (Secondary Arts) without meeting the above requirement, however you are then required to complete 48 credit points of 'discipline units'. These are units which contribute to your background knowledge for the subjects you want to teach. If you can pass all 48 credit points you will be deemed to have met the NSW Government's requirements and may proceed in the course. However, if you cannot pass all 48 credit points, you may not proceed and will be transferred to a non-teacher education course such as the Bachelor of Arts.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDSA,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (Secondary Arts),Yes,ATAR,Years,4.0,BA,AUD,,"Teaching is a rewarding career choice for those who enjoy being part of children's development. The professional skills learned will be valued by the community and will bring teachers into contact with people of all ages. Teachers are members of one of the largest professions of our society. The degree will give students the opportunity to develop the skills, knowledge and attitudes needed to become a successful secondary teacher. Students are encouraged to be independent learners who are able to adapt efficiently and constructively to meet the changes which occur in the teaching profession.",
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,"Option 1 - You may attempt the Bachelor of Education (Secondary Mathematics) without meeting the above requirement, however you are then required to complete 48 credit points of 'discipline units'. These are units which contribute to your background knowledge for the subjects you want to teach. If you can pass all 48 credit points you will be deemed to have met the NSW Government's requirements and may proceed in the course. However, if you cannot pass all 48 credit points, you may not proceed and will be transferred to a non-teacher education course such as the Bachelor of Science.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDSMT,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (Secondary Mathematics),Yes,ATAR,Years,4.0,BA,AUD,,"Teaching is a rewarding career choice for those who enjoy being part of children's development. The professional skills learned will be valued by the community and will bring teachers into contact with people of all ages. Teachers are members of one of the largest professions of our society. The degree will give students the opportunity to develop the skills, knowledge and attitudes needed to become a successful secondary teacher. Students are encouraged to be independent learners who are able to adapt efficiently and constructively to meet the changes which occur in the teaching profession.",
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,"The NSW Government raised admission requirements for undergraduate teaching courses in 2016. The new requirements are considerably higher than before and specify a minimum of three Band 5 HSC results, including one in English, or bridging units or alternative pathway as approved by NESA. Further information is available via the NESA Teacher Accreditation website.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDSMU,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (Secondary Music),Yes,ATAR,Years,4.0,BA,AUD,,"Teaching is a rewarding career choice for those who enjoy being part of children's development. The professional skills learned will be valued by the community and will bring teachers into contact with people of all ages. Teachers are members of one of the largest professions of our society. The degree will give students the opportunity to develop the skills, knowledge and attitudes needed to become a successful secondary teacher. Students are encouraged to be independent learners who are able to adapt efficiently and constructively to meet the changes which occur in the teaching profession. The Music component of this course is offered in fully online mode only, giving students flexibility with regard to location and when they can study and access course materials.",
"Science and Agriculture, Business and Law",77.10,,,Years,Armidale,,"In addition to the above, from 2018 initial teacher education students must satisfy the School of their suitability for teaching through the satisfactory completion of a non-academic capability assessment.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDSSC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (Secondary Science),Yes,ATAR,Years,4.0,BA,AUD,,"Teaching is a rewarding career choice for those who enjoy being part of children's development. The professional skills learned will be valued by the community and will bring teachers into contact with people of all ages. Teachers are members of one of the largest professions of our society. The degree will give students the opportunity to develop the skills, knowledge and attitudes needed to become a successful secondary teacher. Students are encouraged to be independent learners who are able to adapt efficiently and constructively to meet the changes which occur in the teaching profession.",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,"In addition to the above, from 2018 initial teacher education students must satisfy the School of their suitability for teaching through the satisfactory completion of a non-academic capability assessment.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Educational Studies,Yes,ATAR,Years,3.0,BA,AUD,,"This is a degree with flexibility, in which you can incorporate a wide range of subjects from across the University. This course offers flexibility in Education career options, giving those candidates with an interest in Education but who do not wish to teach, the option of studying a broad range of Education subjects relating to education as a discipline (non-teaching). In addition, completion of an appropriate number/combination of NESA-approved bridging units, or 48 credit points of Discipline units offered in this course will meet NSW Education Standards Authority (NESA)'s 'three Band 5s including English' requirement for admission to an Initial Teacher Education course.",
Medicine and Health,72.55,,,Years,Armidale,,"In addition to the above, from 2018 initial teacher education students must satisfy the School of their suitability for teaching through the satisfactory completion of a non-academic capability assessment.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BENSC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Environmental Science,Yes,ATAR,Years,3.0,BA,AUD,,"The Bachelor of Environmental Science is a unique undergraduate program directly integrated to the protection and conservation of our regional, rural and national environment. It provides graduates with a strong scientific understanding of local to global environmental issues and their management. The program offers a wide range of flexible and personal learning opportunities to develop advanced scientific knowledge and field and laboratory skills related to ecological conservation, air, land, water, plant and wildlife management and protection. Students will engage and work with environmental practitioners, industry and regulators to solve the problems of today with innovative solutions whilst gaining the core attributes to be job ready in a wide range of careers. Local and international field trips give valuable hands on experience.",
Medicine and Health,84.40,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BESLAW,Yes,University of New England,A,Yes,Australia,No,Bachelor of Environmental Science/Bachelor of Laws,Yes,ATAR,Years,5.0,BA,AUD,,"The University of New England offers a flexible approach to the study of law. UNE boasts one of Australia's largest law schools outside a capital city, as well as being an early adopter of innovative technology in the delivery of its law programs. The Bachelor of Laws is accredited by the Legal Profession Admission Board of NSW for admission as a legal practitioner in NSW and mutual recognition legislation extends admission to other Australian jurisdictions.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEXSS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Exercise and Sports Science,Yes,ATAR,Years,3.0,BA,AUD,,"The Bachelor of Exercise and Sports Science at UNE is a multidisciplinary program that develops a comprehensive understanding of the scientific and applied aspects of sport, exercise and health. The course includes core studies in human structure, function and behaviour before further study on the acute and chronic physiological and psychological responses to exercise. Analytical, technical and professional skills are developed in the areas of movement analysis, health and fitness assessment and exercise training for health and performance. Students complete 140 hours of workplace experience in their final trimester of study to practice these skills. Graduates are recognised for their expertise in the design and implementation of exercise interventions to prevent disease and improve athletic performance.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BGEOSC,Yes,University of New England,A,Yes,Australia,No,Bachelor of GeoScience,Yes,ATAR,Years,3.0,BA,AUD,,"This innovative degree provides the opportunity to study a geology degree that incorporates the fundamental core principals of geology coupled with teaching of modern GIS/geospatial geology specific maps and mapping techniques. We capitalise on our location within the New England Orogen that enables us to undertake fieldwork often. The New England Orogen is a great natural laboratory and we have a diverse array of spectacular geology all easily accessible in our 'backyard'. This course includes topics such as field geology, resource geology and environmental issues, optical mineralogy and igneous petrology, ore deposit geology, exploration and environmental geochemistry, structural and metamorphic geology, field mapping and sedimentology, palaeontology and stratigraphy, applied geophysics, among others. ",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BHIP,Yes,University of New England,A,Yes,Australia,No,Bachelor of Historical Inquiry and Practice,Yes,ATAR,Years,3.0,BA,AUD,,"The Bachelor of Historical Inquiry and Practice focuses specifically on the professional development of historians. As it is recommended for professional historians to engage in the study of a cognate discipline relevant to their chosen professional speciality - and because historical inquiry is now widely accepted as elemental to various professions beyond those conventionally associated with history - this course also includes a field of study opportunity whereby the student's study and training in history may be purposefully combined with other disciplines, to facilitate education in, for example, historical fiction and writing, social history and criminology, family history and sociology, national history and languages, cultural history and music.",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BILS,Yes,University of New England,A,Yes,Australia,No,Bachelor of International and Language Studies,Yes,ATAR,Years,2.0,BA,AUD,,The Bachelor of International and Language Studies is a four year degree. Students cannot enrol directly into this degree but may only transfer into it after completing 96 credit points in the Bachelor of International Studies (equivalent to two years full-time) then complete a further 96 credit points in the Bachelor of International and Language Studies. The fourth and final year of this degree is comprised of In-Country language study.,
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BIS,Yes,University of New England,A,Yes,Australia,No,Bachelor of International Studies,Yes,ATAR,Years,3.0,BA,AUD,,"The Bachelor of International Studies is a three year degree. The degree comprises units with a global perspective from several disciplines. Topical issues include global security, earth in crisis, Islamic studies, cross-cultural communication, trade, the European Union, and Australia's relations with the US, Asia and the Pacific Islands.",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BLANG,Yes,University of New England,A,Yes,Australia,No,Bachelor of Languages,Yes,ATAR,Years,4.0,BA,AUD,,"This course is aimed at highly motivated students who wish to learn one or more languages (Chinese [Mandarin], French, German, Italian, Indonesian, Japanese, Spanish) and become well acquainted and familiar with their culture(s). Their skills and knowledge will be further developed and enriched by spending two trimesters studying university courses in the country of their chosen language(s). This broadens graduates' career options and gives them a competitive advantage in today's increasingly multicultural and international workplace environments.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BLIB,Yes,University of New England,A,Yes,Australia,No,Bachelor of Languages and International Business,Yes,ATAR,Years,4.0,BA,AUD,,"This degree aims to equip students with the language skills (in Chinese, French, German, Italian, Indonesian, Japanese or Spanish), solid international business knowledge, and intercultural and cross-cultural understanding that will enable them to function effectively in an international work environment both in Australia and overseas.",
"Science and Agriculture, Business and Law",90.00,,,Years,Armidale,,"Additionally, a law degree is relevant to a large range of careers including: working in legal aid agencies, advocacy organisations, commercial firms, government departments, banking, commerce, management and a wide range of businesses.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BLAWS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Laws (3 Years),Yes,ATAR,Years,3.0,BA,AUD,,"UNE boasts one of Australia's largest law schools outside a capital city, as well as being an early adopter of innovative technology in the delivery of its law programs. The Bachelor of Law (3 years) encourages both a critical and progressive approach to the existing law and legal system; ensuring that students understand both the law and the context.",
"Science and Agriculture, Business and Law",84.40,,,Years,Armidale,,"Additionally, a law degree is relevant to a large range of careers including: working in legal aid agencies, advocacy organisations, commercial firms, government departments, banking, commerce, management and a wide range of businesses.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BLAW01,Yes,University of New England,A,Yes,Australia,No,Bachelor of Laws (4 Years),Yes,ATAR,Years,4.0,BA,AUD,,"The University of New England offers a flexible approach to the study of law. UNE boasts one of Australia's largest law schools outside a capital city, as well as being an early adopter of innovative technology in the delivery of its law programs. The Bachelor of Laws (4 year) is designed for people who are new to university study or to the study of law, including school leavers or people who want to change careers or get a qualification.",
"Science and Agriculture, Business and Law",57.70,,,Years,Armidale,,"Additionally, a law degree is relevant to a large range of careers including: working in legal aid agencies, advocacy organisations, commercial firms, government departments, banking, commerce, management and a wide range of businesses.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BLS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Legal Studies,Yes,ATAR,Years,3.0,BA,AUD,,"The Bachelor of Legal Studies is a broad and comprehensive course which will provide graduates with a wide legal knowledge and skills in legal reasoning. In particular, this course provides students with the opportunity to design their own program of study after completing the core units. Students may study units of interest from a particular category which will enhance career opportunities in an ever-changing legal services market. The course will also provide career opportunities for those with an interest in a career in policy development and the justice sector.",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,"Additionally, a law degree is relevant to a large range of careers including: working in legal aid agencies, advocacy organisations, commercial firms, government departments, banking, commerce, management and a wide range of businesses.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BMC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Media and Communications,Yes,ATAR,Years,3.0,BA,AUD,,"This course provides up-to-date knowledge of the rapidly changing field of media and communications. It includes film studies, from Australian cinema to Hollywood; television studies; news media; children's media; advertising; digital and social media; screen adaptations; creative and professional writing; and publishing and editing. Students choose to major in 'Media and Culture' or 'Writing and Publishing'. The course develops skills in media research, writing and digital communications, which are relevant to further studies and today's changing workplaces.",
Medicine and Health,72.55,,,Years,Armidale,,"Additionally, a law degree is relevant to a large range of careers including: working in legal aid agencies, advocacy organisations, commercial firms, government departments, banking, commerce, management and a wide range of businesses.",,Yes,Yes,Yes,,English,https://my.une.edu.au/courses/2020/courses/BMSMD,Yes,University of New England,A,No,Australia,No,Bachelor of Medical Science and Doctor of Medicine,Yes,ATAR,Years,5.0,DOC,AUD,,"The Joint Medical Program (JMP) is a two stage five year program comprising of a Bachelor of Medical Science (stage one) and Doctor of Medicine (stage two), offered jointly in partnership by the University of Newcastle and the University of New England.",
"Humanities, Arts, Social Sciences and Education", ,,,Years,Armidale,,Note: Information on the Audition can be accessed from the 'I would like to know more about this course' link below. ,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BMUS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Music,Yes,ATAR,Years,3.0,BA,AUD,,"This program specialises in providing students with comprehensive, creatively focused music training in an online environment. Students build their creative music making skills in songwriting, composition, performance and music technology while developing a thorough knowledge of the historical, cultural and theoretical background of music genres via the study of musicology, ethnomusicology and popular music studies. Additionally, the program fosters advanced musical craft skills in aural and harmony. Throughout their degree students produce a creative and/or research portfolio to enable them to showcase their abilities as they transition into professional careers in the creative industries and education sectors. Graduates of the program are independent, skilled musicians who have established their own creative practices and research methodologies. On completion of the degree, pathways to further study include continuing on to honours and graduate research degrees or graduate degrees in education to pursue careers in primary and secondary music teaching.",
Medicine and Health,72.55,,,Years,Armidale,,All students are required to undertake professional experience placements and must meet additional mandatory requirements prior to this. Students should not enrol in the course if they cannot meet these requirements. Students should commence these requirements prior to commencing the course. Failure to complete vaccinations or provide evidence of adequate seroconversion will result in the inability to complete clinical placement. ,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BNURS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Nursing,Yes,ATAR,Years,6.0,BA,AUD,,The Bachelor of Nursing (BN) is offered On Campus and Online either Full-time or Part-time. Units are offered in all three trimesters allowing students to complete the course in two calendar years if they wish. Both On Campus and Online students participate in structured and timetabled learning activities.,
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,All students are required to undertake professional experience placements and must meet additional mandatory requirements prior to this. Students should not enrol in the course if they cannot meet these requirements. Students should commence these requirements prior to commencing the course. Failure to complete vaccinations or provide evidence of adequate seroconversion will result in the inability to complete clinical placement. ,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BORGL,Yes,University of New England,A,Yes,Australia,No,Bachelor of Organisational Leadership,Yes,ATAR,Year,1.0,BA,AUD,,"This course takes advantage of the strengths of a business-oriented degree while meeting the contemporary organisational leadership needs of the 21st Century. The course is geared toward individuals who are preparing themselves to be leaders of tomorrow whether in government, church, military, statutory, non-profit or commercial organisations. This course recognises students' professional background by granting full credit for any previous studies, training and work experience, and thereby helping students take the step into tertiary education. The UNE Bachelor of Organisational Leadership brings together a highly structured, well-rounded program that concentrates on managerial issues ranging from leadership to organisational change, ethics and strategic planning. Choose from units that allows you to learn how to develop, structure and present successful business proposals or study communication between people of differing cultural backgrounds in different social and professional contexts. Alternatively, add a unit on accounting and finance for business or employment relations.",
Medicine and Health,80.00,,,Years,Armidale,,All students are required to undertake professional experience placements and must meet additional mandatory requirements prior to this. Students should not enrol in the course if they cannot meet these requirements. Students should commence these requirements prior to commencing the course. Failure to complete vaccinations or provide evidence of adequate seroconversion will result in the inability to complete clinical placement. ,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBPH1,Yes,University of New England,A,Yes,Australia,No,Bachelor of Pharmacy with Honours,Yes,ATAR,Years,4.0,HONS,AUD,,"Students enrolled in the Bachelor of Pharmacy with Honours will develop a strong foundation in basic and pharmaceutical sciences core skills which will be integrated with contemporary knowledge and application of pharmaceutics and pharmacy practice. Prior to the commencement of the third year, students are required to complete 100 hours of practical experience work in a pharmacy which will be integrated into their course work. In the fourth or final year of the degree students will be required to undertake approximately 200 hours of clinical placements in community and hospital pharmacies of which some placements will be outside normal university trimester times. Students will be encouraged to take these placements in rural and regional areas.",
Medicine and Health,72.55,,,Years,Armidale,,Professional recognition: A three-year sequence in psychology that is accredited by the Australian Psychology Accreditation Council.,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BPSYSC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Psychological Science,Yes,ATAR,Year,1.0,BA,AUD,,Why study the Bachelor of Psychological Science at UNE?,
Medicine and Health,86.25,,,Years,Armidale,,Professional recognition: A three-year sequence in psychology that is accredited by the Australian Psychology Accreditation Council.,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBPSYC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Psychology with Honours,Yes,ATAR,Year,1.0,HONS,AUD,,"The Bachelor of Psychology with Honours is our premier course designed for high-performing students who are aiming for a professional career in Psychology. It is an accredited, integrated, four-year Honours course that requires a high ATAR for initial entry [Rule (a)]; or admission only to the Honours year, based on a completed three-year Bachelor degree that includes a three-year sequence in Psychology that has been accredited by the Australian Psychology Accreditation Council [Rule (b)]*. However you can also transfer to this course from other courses, such as the Bachelor of Psychological Science, with sufficient grades in first and second year Psychology.",
"Science and Agriculture, Business and Law",77.10,,,Years,Armidale,,Professional recognition: A three-year sequence in psychology that is accredited by the Australian Psychology Accreditation Council.,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BRURSC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Rural Science,Yes,ATAR,Years,4.0,BA,AUD,,"Providing food and fibre for growing populations in Australia and worldwide in a challenging climatic environment demands graduates capable of understanding and integrating whole agricultural systems. This degree produces graduates with the scientific and communication skills and confidence to solve practical agricultural problems at farm, catchment and national level. Students who complete a research project in the fourth year will be considered for the award of Honours.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,"Exciting career options are possible in small to large business, industry, government, teaching and research for graduates of the Bachelor of Science. Opportunities include positions in computing, consulting, botanical and zoological gardens, museums, manufacturing, electronics, mining and oil, as well as in biochemical, chemical, clinical, engineering, forensic, medical, microbiological, physiological and physics laboratories. Teaching is also an option after completing a Master of Teaching or by completing the Bachelor of Education (Secondary Science). Research and postgraduate study are other common pathways for our BSc graduates, particularly after the completion of a 4th year of study (BSc(Honours)).",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BSC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Science,Yes,ATAR,Years,3.0,BA,AUD,,"The course is designed to provide students with the skills and techniques necessary for solving problems associated with a broad range of issues. The extensive range of majors available in established and emerging, generalist and specialist sciences, are all underpinned by cutting edge research. In first year students are encouraged to establish a broad science base which allows for flexibility in choosing an appropriate major or majors coupled with the option of a minor. The major completed will appear on the academic record and testamur. A fourth year is required for Honours.",
