Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
ADIP,Victorian Institute of Technology,Adelaide,Advanced Diploma of Hospitality Management,,"18,999","18,999",AUD,Years,107,Weeks,Yes,Yes,IELTS,Equivalent AQF Level,,,Year 12,,https://www.vit.edu.au/courses/advanced-diploma-of-hospitality-management/,English,A,"The Advanced Diploma of Hospitality Management course provides the skills and knowledge for an individual to become competent as a Manager in any hospitality function area. This individual would have the ability to analyse, design and execute judgement’s using wide-ranging technical, creative, conceptual or managerial competencies. Work would be undertaken in various hospitality settings.",This qualification provides a pathway to work in any sector of the hospitality industry as a senior manager in large organisation or small business owner or manager.Possible job titles include: • area manager or operations manager • cafe owner or manager • executive chef • executive sous chef • food and beverage manager • head chef,Australia,No,Yes,No,Yes,No,,BSBDIV501 Manage diversity in the workplace,,,BSBFIM601 Manage finances,,,BSBMGT517 Manage operational plan,,,BSBMGT617 Develop and implement a business plan,,,BSBRSK501 Manage risk,,,SITHKOP005 Coordinate cooking operations,,,SITXCCS007 Enhance Customer Service Experiences,,,SITXCCS008 Develop and manage quality customer service practices,,,SITXCOM005 Manage conflict,,,SITXFIN002 Interpret financial information,,,SITXFIN003 Manage finances within a budget,,,SITXFIN004 Prepare and monitor budgets,,,SITXFIN005 Manage physical assets,,,SITXFSA001 Use hygienic practices for food safety,,,SITXFSA002 Participate in safe food handling practices,,,SITXGLC001 Research and comply with regulatory requirements,,,SITXHRM002 Roster staff,,,SITXHRM003 Lead and manage people,,,"SITXHRM004 Recruit, select and induct staff",,,SITXHRM006 Monitor staff performance,,,SITXMGT001 Monitor work operations,,,SITXMGT002 Establish and conduct business relationships,,,SITXMPR007 Develop and implement marketing strategies,,,SITXWHS004 Establish and maintain a work health and safety system,,,SITHCCC006 Prepare appetisers and salads,,,"SITHCCC007 Prepare stocks, sauces and soups",,,"SITHCCC008 Prepare vegetable, fruit, egg and farinaceous dishes",,,SITHCCC012 Prepare poultry dishes,,,SITHCCC013 Prepare seafood dishes,,,SITHCCC014 Prepare meat dishes,,,SITHCCC018 Prepare food to meet special dietary requirements,,,"SITHCCC0019 Produce cakes, pastries and breads",,,BSBITU202 Create and use spreadsheets,,,SITHPAT001 Produce cakes,,,"SITHPAT002 Produce gateaux, torten and cakes",,,SITHPAT003 Produce pastries,,,SITHPAT004 Produce yeast based bakery products,,,SITHPAT005 Produce petits fours,,,SITHPAT007 Prepare and model marzipan,,,SITHPAT008 Produce chocolate confectionery,,
ADIP,Victorian Institute of Technology,Abottsford,Advanced Diploma of Hospitality Management,,"18,999","18,999",AUD,Years,107,Weeks,Yes,Yes,IELTS,Equivalent AQF Level,,,Year 12,,https://www.vit.edu.au/courses/advanced-diploma-of-hospitality-management/,English,A,"The Advanced Diploma of Hospitality Management course provides the skills and knowledge for an individual to become competent as a Manager in any hospitality function area. This individual would have the ability to analyse, design and execute judgement’s using wide-ranging technical, creative, conceptual or managerial competencies. Work would be undertaken in various hospitality settings.",This qualification provides a pathway to work in any sector of the hospitality industry as a senior manager in large organisation or small business owner or manager.Possible job titles include: • area manager or operations manager • cafe owner or manager • executive chef • executive sous chef • food and beverage manager • head chef,Australia,No,Yes,No,Yes,No,,BSBDIV501 Manage diversity in the workplace,,,BSBFIM601 Manage finances,,,BSBMGT517 Manage operational plan,,,BSBMGT617 Develop and implement a business plan,,,BSBRSK501 Manage risk,,,SITHKOP005 Coordinate cooking operations,,,SITXCCS007 Enhance Customer Service Experiences,,,SITXCCS008 Develop and manage quality customer service practices,,,SITXCOM005 Manage conflict,,,SITXFIN002 Interpret financial information,,,SITXFIN003 Manage finances within a budget,,,SITXFIN004 Prepare and monitor budgets,,,SITXFIN005 Manage physical assets,,,SITXFSA001 Use hygienic practices for food safety,,,SITXFSA002 Participate in safe food handling practices,,,SITXGLC001 Research and comply with regulatory requirements,,,SITXHRM002 Roster staff,,,SITXHRM003 Lead and manage people,,,"SITXHRM004 Recruit, select and induct staff",,,SITXHRM006 Monitor staff performance,,,SITXMGT001 Monitor work operations,,,SITXMGT002 Establish and conduct business relationships,,,SITXMPR007 Develop and implement marketing strategies,,,SITXWHS004 Establish and maintain a work health and safety system,,,SITHCCC006 Prepare appetisers and salads,,,"SITHCCC007 Prepare stocks, sauces and soups",,,"SITHCCC008 Prepare vegetable, fruit, egg and farinaceous dishes",,,SITHCCC012 Prepare poultry dishes,,,SITHCCC013 Prepare seafood dishes,,,SITHCCC014 Prepare meat dishes,,,SITHCCC018 Prepare food to meet special dietary requirements,,,"SITHCCC0019 Produce cakes, pastries and breads",,,BSBITU202 Create and use spreadsheets,,,SITHPAT001 Produce cakes,,,"SITHPAT002 Produce gateaux, torten and cakes",,,SITHPAT003 Produce pastries,,,SITHPAT004 Produce yeast based bakery products,,,SITHPAT005 Produce petits fours,,,SITHPAT007 Prepare and model marzipan,,,SITHPAT008 Produce chocolate confectionery,,
ADIP,Victorian Institute of Technology,Melbourne,Advanced Diploma of Hospitality Management,,"18,999","18,999",AUD,Years,107,Weeks,Yes,Yes,IELTS,Equivalent AQF Level,,,Year 12,,https://www.vit.edu.au/courses/advanced-diploma-of-hospitality-management/,English,A,"The Advanced Diploma of Hospitality Management course provides the skills and knowledge for an individual to become competent as a Manager in any hospitality function area. This individual would have the ability to analyse, design and execute judgement’s using wide-ranging technical, creative, conceptual or managerial competencies. Work would be undertaken in various hospitality settings.",This qualification provides a pathway to work in any sector of the hospitality industry as a senior manager in large organisation or small business owner or manager.Possible job titles include: • area manager or operations manager • cafe owner or manager • executive chef • executive sous chef • food and beverage manager • head chef,Australia,No,Yes,No,Yes,No,,BSBDIV501 Manage diversity in the workplace,,,BSBFIM601 Manage finances,,,BSBMGT517 Manage operational plan,,,BSBMGT617 Develop and implement a business plan,,,BSBRSK501 Manage risk,,,SITHKOP005 Coordinate cooking operations,,,SITXCCS007 Enhance Customer Service Experiences,,,SITXCCS008 Develop and manage quality customer service practices,,,SITXCOM005 Manage conflict,,,SITXFIN002 Interpret financial information,,,SITXFIN003 Manage finances within a budget,,,SITXFIN004 Prepare and monitor budgets,,,SITXFIN005 Manage physical assets,,,SITXFSA001 Use hygienic practices for food safety,,,SITXFSA002 Participate in safe food handling practices,,,SITXGLC001 Research and comply with regulatory requirements,,,SITXHRM002 Roster staff,,,SITXHRM003 Lead and manage people,,,"SITXHRM004 Recruit, select and induct staff",,,SITXHRM006 Monitor staff performance,,,SITXMGT001 Monitor work operations,,,SITXMGT002 Establish and conduct business relationships,,,SITXMPR007 Develop and implement marketing strategies,,,SITXWHS004 Establish and maintain a work health and safety system,,,SITHCCC006 Prepare appetisers and salads,,,"SITHCCC007 Prepare stocks, sauces and soups",,,"SITHCCC008 Prepare vegetable, fruit, egg and farinaceous dishes",,,SITHCCC012 Prepare poultry dishes,,,SITHCCC013 Prepare seafood dishes,,,SITHCCC014 Prepare meat dishes,,,SITHCCC018 Prepare food to meet special dietary requirements,,,"SITHCCC0019 Produce cakes, pastries and breads",,,BSBITU202 Create and use spreadsheets,,,SITHPAT001 Produce cakes,,,"SITHPAT002 Produce gateaux, torten and cakes",,,SITHPAT003 Produce pastries,,,SITHPAT004 Produce yeast based bakery products,,,SITHPAT005 Produce petits fours,,,SITHPAT007 Prepare and model marzipan,,,SITHPAT008 Produce chocolate confectionery,,
CERTIII,Victorian Institute of Technology,Melbourne,Certificate III in Carpentry,,"24,000","24,000",AUD,Years,104,Weeks,Yes,Yes,IELTS,Equivalent AQF Level,,,Year 11,,https://www.vit.edu.au/courses/certificate-iii-in-carpentry/,English,A,"The Certificate III in Carpentry qualification provides a trade outcome in carpentry, covering work in residential and commercial applications. Occupational titles may include: • Carpenter • Carpenter and joiner The qualification has core unit of competency requirements that cover common skills for the construction industry, as well as a specialist field",This qualification provides the skills and knowledge for an individual to be competent as:1. Carpenter2. Carpenter and Joiner,Australia,No,Yes,No,Yes,No,,CPCCCA2002B Use carpentry tools and equipment,,,CPCCCA2011A Handle carpentry materials,,,CPCCCA3001A Carry out general demolition of minor building structures,,,CPCCCA3002A Carry out setting out,,,CPCCCA3003A Install flooring systems,,,CPCCCA3004A Construct wall frames,,,CPCCCA3005B Construct ceiling frames,,,CPCCCA3006B Erect roof trusses,,,CPCCCA3007C Construct pitched roofs,,,CPCCCA3008B Construct eaves,,,CPCCCA3023A Carry out levelling operations,,,CPCCCM1012A Work effectively and sustainably in the construction industry,,,CPCCCM1013A Plan and organise work,,,CPCCCM1014A Conduct workplace communication,,,CPCCCM1015A Carry out measurements and calculations,,,CPCCCM2001A Read and interpret plans and specifications,,,CPCCCM2002A Carry out excavation,,,CPCCCM2007B Use explosive power tools,,,CPCCCM2008B Erect and dismantle restricted height scaffolding,,,CPCCCM2010B Work safely at heights,,,CPCCCO2013A Carry out concreting to simple forms,,,"CPCCOHS2001A Apply OHS requirements, policies and procedures in the construction industry",,,CPCCCA3012A Frame and fit wet area fixtures,,,CPCCCA3010A Install and replace windows and doors,,,"CPCCCA3019A Erect and dismantle formwork to suspended slabs, columns, beams and walls",,,CPCCCA3014A Construct bulkheads,,,CPCCCA3015A Assemble partitions,,,CPCCCA3020A Erect and dismantle jump form formwork,,,CPCCSF2004A Place and fix reinforcement materials,,,CPCCWHS1001 Prepare to work safely in the construction industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIII,Victorian Institute of Technology,Adelaide,Certificate III in Commercial Cookery,,"12,999","12,999",AUD,Years,64,Weeks,Yes,Yes,IELTS,Equivalent AQF Level,,,Year 11,,https://www.vit.edu.au/courses/certificate-iii-in-commercial-cookery/,English,A,"The Certificate III in Commercial Cookery qualification reflects the role of commercial cooks who use a wide range of well-developed cookery skills and provides sound information on kitchen operations including how to arrange food and menu items. Certificate III in Commercial Cookery provides a pathway to work as a commercial cook in organizations such as hotels, restaurants, cafés, coffee shops, clubs and pubs. If you are passionate about cooking and are looking for a career that is in demand everywhere (especially in Australia!), VIT’s Commercial Cookery course is for you.","This qualification provides the skills and knowledge for an individual to be competent as a qualified cook. Work would be undertaken in various hospitality enterprises where food is prepared and served, including restaurants, hotels, clubs, pubs, cafes, cafeterias and coffee shops. Individuals may have some responsibility for others and provide technical advice and support to a team.",Australia,No,Yes,No,Yes,No,,BSBSUS201 Participate in environmentally sustainable work practices,,,BSBWOR203 Work effectively with others,,,BSBITU212 Create and Use Spreadsheets,,,SITHCCC001 Use food preparation equipment,,,SITHCCC005 Prepare dishes using basic methods of cookery,,,SITHCCC006 Prepare appetisers and salads,,,"SITHCCC007 Prepare stocks, sauces and soups",,,"SITHCCC008 Prepare vegetable, fruit, egg and farinaceous dishes",,,SITHCCC012 Prepare poultry dishes,,,SITHCCC013 Prepare seafood dishes,,,SITHCCC014 Prepare meat dishes,,,SITHCCC017 Handle and serve cheese,,,SITHCCC018 Prepare food to meet special dietary requirements,,,"SITHCCC019 Produce cakes, pastries and breads",,,SITHCCC020 Work effectively as a cook,,,SITHKOP001 Clean kitchen premises and equipment,,,SITHKOP002 Plan and cost basic menus,,,SITHPAT006 Produce desserts,,,SITXFSA001 Use hygienic practices for food safety,,,SITXFSA002 Participate in safe food handling practices,,,SITXHRM001 Coach others in job skills,,,SITXINV001 Receive and store Stock,,,SITXINV002 Maintain the quality of perishable items,,,SITXWHS001 Participate in safe work practices,,,"SITXWHS002 Identify hazards, assess and control safety risks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIII,Victorian Institute of Technology,Abottsford,Certificate III in Commercial Cookery,,"12,999","12,999",AUD,Years,64,Weeks,Yes,Yes,IELTS,Equivalent AQF Level,,,Year 11,,https://www.vit.edu.au/courses/certificate-iii-in-commercial-cookery/,English,A,"The Certificate III in Commercial Cookery qualification reflects the role of commercial cooks who use a wide range of well-developed cookery skills and provides sound information on kitchen operations including how to arrange food and menu items. Certificate III in Commercial Cookery provides a pathway to work as a commercial cook in organizations such as hotels, restaurants, cafés, coffee shops, clubs and pubs. If you are passionate about cooking and are looking for a career that is in demand everywhere (especially in Australia!), VIT’s Commercial Cookery course is for you.","This qualification provides the skills and knowledge for an individual to be competent as a qualified cook. Work would be undertaken in various hospitality enterprises where food is prepared and served, including restaurants, hotels, clubs, pubs, cafes, cafeterias and coffee shops. Individuals may have some responsibility for others and provide technical advice and support to a team.",Australia,No,Yes,No,Yes,No,,BSBSUS201 Participate in environmentally sustainable work practices,,,BSBWOR203 Work effectively with others,,,BSBITU212 Create and Use Spreadsheets,,,SITHCCC001 Use food preparation equipment,,,SITHCCC005 Prepare dishes using basic methods of cookery,,,SITHCCC006 Prepare appetisers and salads,,,"SITHCCC007 Prepare stocks, sauces and soups",,,"SITHCCC008 Prepare vegetable, fruit, egg and farinaceous dishes",,,SITHCCC012 Prepare poultry dishes,,,SITHCCC013 Prepare seafood dishes,,,SITHCCC014 Prepare meat dishes,,,SITHCCC017 Handle and serve cheese,,,SITHCCC018 Prepare food to meet special dietary requirements,,,"SITHCCC019 Produce cakes, pastries and breads",,,SITHCCC020 Work effectively as a cook,,,SITHKOP001 Clean kitchen premises and equipment,,,SITHKOP002 Plan and cost basic menus,,,SITHPAT006 Produce desserts,,,SITXFSA001 Use hygienic practices for food safety,,,SITXFSA002 Participate in safe food handling practices,,,SITXHRM001 Coach others in job skills,,,SITXINV001 Receive and store Stock,,,SITXINV002 Maintain the quality of perishable items,,,SITXWHS001 Participate in safe work practices,,,"SITXWHS002 Identify hazards, assess and control safety risks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIII,Victorian Institute of Technology,Melbourne,Certificate III in Commercial Cookery,,"12,999","12,999",AUD,Years,64,Weeks,Yes,Yes,IELTS,Equivalent AQF Level,,,Year 11,,https://www.vit.edu.au/courses/certificate-iii-in-commercial-cookery/,English,A,"The Certificate III in Commercial Cookery qualification reflects the role of commercial cooks who use a wide range of well-developed cookery skills and provides sound information on kitchen operations including how to arrange food and menu items. Certificate III in Commercial Cookery provides a pathway to work as a commercial cook in organizations such as hotels, restaurants, cafés, coffee shops, clubs and pubs. If you are passionate about cooking and are looking for a career that is in demand everywhere (especially in Australia!), VIT’s Commercial Cookery course is for you.","This qualification provides the skills and knowledge for an individual to be competent as a qualified cook. Work would be undertaken in various hospitality enterprises where food is prepared and served, including restaurants, hotels, clubs, pubs, cafes, cafeterias and coffee shops. Individuals may have some responsibility for others and provide technical advice and support to a team.",Australia,No,Yes,No,Yes,No,,BSBSUS201 Participate in environmentally sustainable work practices,,,BSBWOR203 Work effectively with others,,,BSBITU212 Create and Use Spreadsheets,,,SITHCCC001 Use food preparation equipment,,,SITHCCC005 Prepare dishes using basic methods of cookery,,,SITHCCC006 Prepare appetisers and salads,,,"SITHCCC007 Prepare stocks, sauces and soups",,,"SITHCCC008 Prepare vegetable, fruit, egg and farinaceous dishes",,,SITHCCC012 Prepare poultry dishes,,,SITHCCC013 Prepare seafood dishes,,,SITHCCC014 Prepare meat dishes,,,SITHCCC017 Handle and serve cheese,,,SITHCCC018 Prepare food to meet special dietary requirements,,,"SITHCCC019 Produce cakes, pastries and breads",,,SITHCCC020 Work effectively as a cook,,,SITHKOP001 Clean kitchen premises and equipment,,,SITHKOP002 Plan and cost basic menus,,,SITHPAT006 Produce desserts,,,SITXFSA001 Use hygienic practices for food safety,,,SITXFSA002 Participate in safe food handling practices,,,SITXHRM001 Coach others in job skills,,,SITXINV001 Receive and store Stock,,,SITXINV002 Maintain the quality of perishable items,,,SITXWHS001 Participate in safe work practices,,,"SITXWHS002 Identify hazards, assess and control safety risks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIII,Victorian Institute of Technology,Adelaide,Certificate III in Patisserie,,"13,999","13,999",AUD,Years,52,Weeks,Yes,Yes,IELTS,Equivalent AQF Level,,,Year 11,,https://www.vit.edu.au/courses/certificate-iii-in-patisserie/,English,A,"When you finish the Certificate III in Patisserie course, you will gain the knowledge and abilities to work quickly and adequately in a commercial kitchen and have the capability to plan, prepare and bake mouth-watering cakes, tarts, petit fours, baked goods and chocolates This Patisserie course provides a pathway to work in different organizations where patisserie items are prepared and served, including patisseries, restaurants, and hotels, catering operations, clubs, pubs, cafés and coffee shops. The Certificate III in Patisserie course prepares students to become qualified pastry cooks. An emphasis is placed on providing hands-on, practical training whilst students are learning to make cakes, gateaux, pastries, yeast goods and petit fours.","This qualification provides a pathway to work in various hospitality enterprises where patisserie products are prepared and served, including patisseries, restaurants, hotels, catering operations, clubs, pubs, cafes and coffee shops.,Possible job titles include:,• Pastry Chef,• Patissier",Australia,No,Yes,No,Yes,No,,BSBWOR203 Work effectively with others,,,BSBITU212 Create and Use Spreadsheets,,,SITHCCC001 Use food preparation equipment,,,SITHCCC005 Prepare dishes using basic methods of cookery,,,SITHCCC011 Use cookery skills effectively,,,SITHCCC018 Prepare food to meet special dietary requirements,,,"SITXWHS002 Identify hazards, assess and control safety risks",,,SITHKOP001 Clean kitchen premises and equipment,,,SITXCCS006 Provide service to customers,,,SITHPAT001 Produce cakes,,,"SITHPAT002 Produce gateaux, torten and cakes",,,SITHPAT003 Produce pastries,,,SITHPAT004 Produce yeast based bakery products,,,SITHPAT005 Produce petits fours,,,SITHPAT006 Produce desserts,,,SITXFSA001 Use hygienic practices for food safety,,,SITXFSA002 Participate in safe food handling practices,,,SITXHRM001 Coach others in job skills,,,SITXINV001 Receive and store Stock,,,SITXINV002 Maintain the quality of perishable items,,,SITXWHS001 Participate in safe work practices,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
